id	Ãû×Ö	ÃèÊö´úºÅ	ÃèÊö	ÃèÊö´úºÅ	ÊıÖµËõ·Å	È¡Öµ	Õ½Á¦	ÊÇ·ñÏÔÊ¾
INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT
*id		#name		#desc	scale	value	power	show
1	ÉúÃü	t_attr_name_1	ÉúÃü +{n}	t_attr_desc_1	1	100	1	1
2	¹¥»÷	t_attr_name_2	¹¥»÷ +{n}	t_attr_desc_2	1	8	12	1
3	Îï·À	t_attr_name_3	Îï·À +{n}	t_attr_desc_3	1	4	12	1
4	Ä§·À	t_attr_name_4	Ä§·À +{n}	t_attr_desc_4	1	4	12	1
11	ÃüÖĞ	t_attr_name_11	ÃüÖĞ +{n}	t_attr_desc_11	1	10	2	1
12	ÉÁ±Ü	t_attr_name_12	ÉÁ±Ü +{n}	t_attr_desc_12	1	10	2	1
13	±©»÷	t_attr_name_13	±©»÷ +{n}	t_attr_desc_13	1	10	2	1
14	¿¹±©	t_attr_name_14	¿¹±© +{n}	t_attr_desc_14	1	10	2	1
15	ÔöÉË	t_attr_name_15	ÔöÉË +{n}	t_attr_desc_15	1	10	2	1
16	¼õÉË	t_attr_name_16	¼õÉË +{n}	t_attr_desc_16	1	10	2	1
17	·ÀÓù	t_attr_name_17	·ÀÓù +{n}	t_attr_desc_17	1			2
21	ÉúÃü%	t_attr_name_21	ÉúÃü +{n}%	t_attr_desc_21	10			2
22	¹¥»÷%	t_attr_name_22	¹¥»÷ +{n}%	t_attr_desc_22	10			2
23	Îï·À%	t_attr_name_23	Îï·À +{n}%	t_attr_desc_23	10			2
24	Ä§·À%	t_attr_name_24	Ä§·À +{n}%	t_attr_desc_24	10			2
31	ÃüÖĞÂÊ%	t_attr_name_31	ÃüÖĞÂÊ +{n}%	t_attr_desc_31	10			2
32	ÉÁ±ÜÂÊ%	t_attr_name_32	ÉÁ±ÜÂÊ +{n}%	t_attr_desc_32	10			2
