id	随机对话	怪物id	随机被动	经验倍率	金币倍率	掉落组1	掉落组1概率	掉落1次数	掉落组2	掉落组2概率	掉落2次数	掉落组3	掉落组3概率	掉落3次数	type0	id	value1	value2	value3	rate	掉落次数	type1	value1	value2	value3	rate	掉落次数	type2	value1	value2	value3	rate	掉落次数
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
*id	dialog	monster	passive	exp_bonus	gold_bonus	dropgroup.0.id	dropgroup.0.rate	dropgroup.0.num	dropgroup.1.id	dropgroup.1.rate	dropgroup.1.num	dropgroup.2.id	dropgroup.2.rate	dropgroup.2.num	drops.0.type	*id	drops.0.value1	drops.0.value2	drops.0.value3	drops.0.rate	drops.0.num	drops.1.type	drops.1.value1	drops.1.value2	drops.1.value3	drops.1.rate	drops.1.num	drops.2.type	drops.2.value1	drops.2.value2	drops.2.value3	drops.2.rate	drops.2.num
2001	1001	102106	1001	5	5	2002	150000	3							2	2001	50010401	1	0	600000	5	2	30020001	1	0	50000	2						
2002	1002	102107	1002	5	5	2002	300000	3							2	2002	50010101	1	0	120000	5	2	30020001	1	0	50000	2						
2003	1003	102108	1003	5	5	2002	300000	3							2	2003	50010201	1	0	600000	5	2	30020001	1	0	50000	2						
2004	1003	102109	1004	5	5	2002	400000	3	3002	50000	1				2	2004	50010301	1	0	120000	5	2	30020001	1	0	50000	2						
2005	1004	102110	1004	5	5	2002	400000	3	3002	50000	1				2	2005	50010401	1	0	600000	5	2	30020001	1	0	50000	2						
3001	1001	103106	1001	5	5	2003	150000	3							2	3001	50010201	1	0	600000	5	2	30020001	1	0	50000	2						
3002	1002	103107	1002	5	5	2003	300000	3							2	3002	50010301	1	0	120000	5	2	30020001	1	0	50000	2						
3003	1003	103108	1003	5	5	2003	300000	3							2	3003	50010401	1	0	600000	5	2	30020001	1	0	50000	2						
3004	1003	103109	1004	5	5	2003	400000	3	3003	50000	1				2	3004	50010101	1	0	120000	5	2	30020001	1	0	50000	2						
3005	1004	103110	1004	5	5	2003	400000	3	3003	50000	1				2	3005	50010201	1	0	600000	5	2	30020001	1	0	50000	2						
4001	1001	104106	1001	5	5	2004	150000	3							2	4001	50010102	1	0	600000	5	2	30020001	1	0	50000	2						
4002	1002	104107	1002	5	5	2004	300000	3							2	4002	50010202	1	0	120000	5	2	30020001	1	0	50000	2						
4003	1003	104108	1003	5	5	2004	300000	3							2	4003	50010302	1	0	600000	5	2	30020001	1	0	50000	2						
4004	1003	104109	1004	5	5	2004	400000	3	3004	50000	1				2	4004	50010402	1	0	120000	5	2	30020001	1	0	50000	2						
4005	1004	104110	1004	5	5	2004	400000	3	3004	50000	1				2	4005	50010102	1	0	600000	5	2	30020001	1	0	50000	2						
5001	1001	105106	1001	5	5	2005	150000	3							2	5001	50010202	1	0	600000	5	2	30020001	1	0	50000	2						
5002	1002	105107	1002	5	5	2005	300000	3							2	5002	50010302	1	0	120000	5	2	30020001	1	0	50000	2						
5003	1003	105108	1003	5	5	2005	300000	3							2	5003	50010402	1	0	600000	5	2	30020001	1	0	50000	2						
5004	1003	105109	1004	5	5	2005	400000	3	3005	50000	1				2	5004	50010102	1	0	120000	5	2	30020001	1	0	50000	2						
5005	1004	105110	1004	5	5	2005	400000	3	3005	50000	1				2	5005	50010202	1	0	600000	5	2	30020001	1	0	50000	2						
6001	1001	106106	1001	5	5	2006	150000	3							2	6001	50010302	1	0	600000	5	2	30020001	1	0	50000	2						
6002	1002	106107	1002	5	5	2006	300000	3							2	6002	50010402	1	0	120000	5	2	30020001	1	0	50000	2						
