id	事件id	权重	事件id	权重	事件id	权重	事件id	权重	事件id	权重	事件id	权重	事件id	权重	事件id	权重	事件id	权重	事件id	权重	事件id	权重
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
*id	event.0.id	event.0.weight	event.1.id	event.1.weight	event.2.id	event.2.weight	event.3.id	event.3.weight	event.4.id	event.4.weight	event.5.id	event.5.weight	event.6.id	event.6.weight	event.7.id	event.7.weight	event.8.id	event.8.weight	event.9.id	event.9.weight	event.10.id	event.10.weight
2001	2001	400	2002	400	2003	200																
2002	2003	600	2004	400																		
2003	2004	400	2005	600																		
3001	3001	400	3002	400	3003	200																
3002	3003	600	3004	400																		
3003	3004	400	3005	600																		
4001	4001	400	4002	400	4003	200																
4002	4003	400	4004	400																		
4003	4004	600	4005	400																		
5001	5001	400	5002	600	5003	200																
5002	5003	400	5004	400																		
5003	5004	600	5005	400																		
6001	6001	400	6002	600	6003	200																
6002	6003	400	6004	400																		
6003	6004	400	6005	400																		
7001	7001	600	7002	400	7003	200																
7002	7003	400	7004	600																		
7003	7004	400	7005	400																		
8001	8001	600	8002	400	8003	200																
8002	8003	400	8004	600																		
8003	8004	400	8005	400																		
9001	9001	400	9002	400	9003	200																
9002	9003	600	9004	400																		
9003	9004	400	9005	600																		
10001	10001	400	10002	400	10003	200																
10002	10003	600	10004	400																		
10003	10004	400	10005	600																		
11001	11001	400	11002	400	11003	200																
11002	11003	400	11004	400																		
11003	11004	600	11005	400																		
12001	12001	400	12002	600	12003	200																
12002	12003	400	12004	400																		
12003	12004	600	12005	400																		
13001	13001	400	13002	600	13003	200																
13002	13003	400	13004	400																		
13003	13004	400	13005	400																		
14001	14001	600	14002	400	14003	200																
14002	14003	400	14004	600																		
14003	14004	400	14005	400																		
15001	15001	600	15002	400	15003	200																
15002	15003	400	15004	600																		
15003	15004	400	15005	400																		
103001	103001	1000	103002	1000	103003	1000	103004	1000	103005	1000	103006	1000										
104001	104001	1000	104002	1000	104003	1000	104004	1000	104005	1000	104006	1000										
105001	105001	1000	105002	1000	105003	1000	105004	1000	105005	1000	105006	1000										
106001	106001	1000	106002	1000	106003	1000	106004	1000	106005	1000	106006	1000										
107001	107001	1000	107002	1000	107003	1000	107004	1000	107005	1000	107006	1000										
108001	108001	1000	108002	1000	108003	1000	108004	1000	108005	1000	108006	1000										
109001	109001	1000	109002	1000	109003	1000	109004	1000	109005	1000	109006	1000										
110001	110001	1000	110002	1000	110003	1000	110004	1000	110005	1000	110006	1000										
111001	111001	1000	111002	1000	111003	1000	111004	1000	111005	1000	111006	1000										
112001	112001	1000	112002	1000	112003	1000	112004	1000	112005	1000	112006	1000										
113001	113001	1000	113002	1000	113003	1000	113004	1000	113005	1000	113006	1000										
114001	114001	1000	114002	1000	114003	1000	114004	1000	114005	1000	114006	1000										
115001	115001	1000	115002	1000	115003	1000	115004	1000	115005	1000	115006	1000										
