id	NAME	代号	最小等级	最大等级	type	icon	res	属性	战力倍数	分解价格	分解道具数量	重铸道具数量	最大属性条数	强化上限	获得途径	声望
INT	STRING	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	INT
*id		#name	min_level	max_level	type	icon	res	attr	value	fprice	fitem_num	cz_item_num	max_q	enhance_limit	get	reputation
10101	猎魂	t_equip_name_10101	1	9	1	10101	unit_1_01	2	2	200	1	1	1	10	2|3|9|12	20
10102	力量盾牌	t_equip_name_10102	1	9	2	10102	unit_1_01	2	2	200	1	1	1	10	2|3|9|12	20
10103	狂猎头盔	t_equip_name_10103	1	9	3	10103	unit_1_01	3	2	200	1	1	1	10	2|3|9|12	20
10104	狂猎肩甲	t_equip_name_10104	1	9	4	10104	unit_1_01	3	2	200	1	1	1	10	2|3|9|12	20
10105	狂猎手套	t_equip_name_10105	1	9	5	10105	unit_1_01	4	2	200	1	1	1	10	2|3|9|12	20
10106	狂猎锁甲	t_equip_name_10106	1	9	6	10106	unit_1_01	4	2	200	1	1	1	10	2|3|9|12	20
10107	狂猎腰带	t_equip_name_10107	1	9	7	10107	unit_1_01	1	2	200	1	1	1	10	2|3|9|12	20
10108	狂猎长靴	t_equip_name_10108	1	9	8	10108	unit_1_01	1	2	200	1	1	1	10	2|3|9|12	20
10201	契约	t_equip_name_10201	10	19	1	10201	unit_1_02	2	2	400	1	1	1	10	2|3|9|12	20
10202	信念盾牌	t_equip_name_10202	10	19	2	10202	unit_1_02	2	2	400	1	1	1	10	2|3|9|12	20
10203	胜利面具	t_equip_name_10203	10	19	3	10203	unit_1_02	3	2	400	1	1	1	10	2|3|9|12	20
10204	胜利护肩	t_equip_name_10204	10	19	4	10204	unit_1_02	3	2	400	1	1	1	10	2|3|9|12	20
10205	胜利手套	t_equip_name_10205	10	19	5	10205	unit_1_02	4	2	400	1	1	1	10	2|3|9|12	20
10206	胜利盔甲	t_equip_name_10206	10	19	6	10206	unit_1_02	4	2	400	1	1	1	10	2|3|9|12	20
10207	胜利腰带	t_equip_name_10207	10	19	7	10207	unit_1_02	1	2	400	1	1	1	10	2|3|9|12	20
10208	胜利短靴	t_equip_name_10208	10	19	8	10208	unit_1_02	1	2	400	1	1	1	10	2|3|9|12	20
10301	绝命	t_equip_name_10301	20	29	1	10301	unit_1_03	2	2	600	1	2	2	10	2|3|9|12	30
10302	斗魔盾牌	t_equip_name_10302	20	29	2	10302	unit_1_03	2	2	600	1	2	2	10	2|3|9|12	30
10303	魔岩面具	t_equip_name_10303	20	29	3	10303	unit_1_03	3	2	600	1	2	2	10	2|3|9|12	30
10304	魔岩护肩	t_equip_name_10304	20	29	4	10304	unit_1_03	3	2	600	1	2	2	10	2|3|9|12	30
10305	魔岩手套	t_equip_name_10305	20	29	5	10305	unit_1_03	4	2	600	1	2	2	10	2|3|9|12	30
10306	魔岩重甲	t_equip_name_10306	20	29	6	10306	unit_1_03	4	2	600	1	2	2	10	2|3|9|12	30
10307	魔岩腰带	t_equip_name_10307	20	29	7	10307	unit_1_03	1	2	600	1	2	2	10	2|3|9|12	30
10308	魔岩长靴	t_equip_name_10308	20	29	8	10308	unit_1_03	1	2	600	1	2	2	10	2|3|9|12	30
10401	灾厄	t_equip_name_10401	30	39	1	10401	unit_1_04	2	2	800	1	2	2	10	2|3|9|12	30
10402	灾厄盾牌	t_equip_name_10402	30	39	2	10402	unit_1_04	2	2	800	1	2	2	10	2|3|9|12	30
10403	灰烬面罩	t_equip_name_10403	30	39	3	10403	unit_1_04	3	2	800	1	2	2	10	2|3|9|12	30
10404	灰烬护肩	t_equip_name_10404	30	39	4	10404	unit_1_04	3	2	800	1	2	2	10	2|3|9|12	30
10405	灰烬手套	t_equip_name_10405	30	39	5	10405	unit_1_04	4	2	800	1	2	2	10	2|3|9|12	30
10406	灰烬盔甲	t_equip_name_10406	30	39	6	10406	unit_1_04	4	2	800	1	2	2	10	2|3|9|12	30
10407	灰烬腰带	t_equip_name_10407	30	39	7	10407	unit_1_04	1	2	800	1	2	2	10	2|3|9|12	30
10408	灰烬之靴	t_equip_name_10408	30	39	8	10408	unit_1_04	1	2	800	1	2	2	10	2|3|9|12	30
10501	怒焰	t_equip_name_10501	40	49	1	10501	unit_1_05	2	2	1000	1	3	2	10	2|3|9|12	40
10502	怒焰盾牌	t_equip_name_10502	40	49	2	10502	unit_1_05	2	2	1000	1	3	2	10	2|3|9|12	40
10503	蓝焰头盔	t_equip_name_10503	40	49	3	10503	unit_1_05	3	2	1000	1	3	2	10	2|3|9|12	40
10504	蓝焰肩甲	t_equip_name_10504	40	49	4	10504	unit_1_05	3	2	1000	1	3	2	10	2|3|9|12	40
10505	蓝焰手套	t_equip_name_10505	40	49	5	10505	unit_1_05	4	2	1000	1	3	2	10	2|3|9|12	40
10506	蓝焰锁子甲	t_equip_name_10506	40	49	6	10506	unit_1_05	4	2	1000	1	3	2	10	2|3|9|12	40
10507	蓝焰腰带	t_equip_name_10507	40	49	7	10507	unit_1_05	1	2	1000	1	3	2	10	2|3|9|12	40
10508	蓝焰长靴	t_equip_name_10508	40	49	8	10508	unit_1_05	1	2	1000	1	3	2	10	2|3|9|12	40
10601	修罗	t_equip_name_10601	50	59	1	10601	unit_1_06	2	2	1200	1	3	2	10	2|3|9|12	40
10602	红莲盾牌	t_equip_name_10602	50	59	2	10602	unit_1_06	2	2	1200	1	3	2	10	2|3|9|12	40
10603	业火面具	t_equip_name_10603	50	59	3	10603	unit_1_06	3	2	1200	1	3	2	10	2|3|9|12	40
10604	业火护肩	t_equip_name_10604	50	59	4	10604	unit_1_06	3	2	1200	1	3	2	10	2|3|9|12	40
10605	业火手套	t_equip_name_10605	50	59	5	10605	unit_1_06	4	2	1200	1	3	2	10	2|3|9|12	40
10606	业火夹克	t_equip_name_10606	50	59	6	10606	unit_1_06	4	2	1200	1	3	2	10	2|3|9|12	40
10607	业火腰带	t_equip_name_10607	50	59	7	10607	unit_1_06	1	2	1200	1	3	2	10	2|3|9|12	40
10608	业火短靴	t_equip_name_10608	50	59	8	10608	unit_1_06	1	2	1200	1	3	2	10	2|3|9|12	40
10701	荣耀	t_equip_name_10701	60	69	1	10701	unit_1_07	2	2	1400	1	4	3	10	2|3|9|12	50
10702	无畏盾牌	t_equip_name_10702	60	69	2	10702	unit_1_07	2	2	1400	1	4	3	10	2|3|9|12	50
10703	勇气头盔	t_equip_name_10703	60	69	3	10703	unit_1_07	3	2	1400	1	4	3	10	2|3|9|12	50
10704	勇气护肩	t_equip_name_10704	60	69	4	10704	unit_1_07	3	2	1400	1	4	3	10	2|3|9|12	50
10705	勇气手套	t_equip_name_10705	60	69	5	10705	unit_1_07	4	2	1400	1	4	3	10	2|3|9|12	50
10706	勇气护甲	t_equip_name_10706	60	69	6	10706	unit_1_07	4	2	1400	1	4	3	10	2|3|9|12	50
10707	勇气腰带	t_equip_name_10707	60	69	7	10707	unit_1_07	1	2	1400	1	4	3	10	2|3|9|12	50
10708	勇气长靴	t_equip_name_10708	60	69	8	10708	unit_1_07	1	2	1400	1	4	3	10	2|3|9|12	50
10801	誓言	t_equip_name_10801	70	79	1	10801	unit_1_08	2	2	1800	1	4	3	10	2|3|9|12	50
10802	旧人盾牌	t_equip_name_10802	70	79	2	10802	unit_1_08	2	2	1800	1	4	3	10	2|3|9|12	50
10803	冰原绒帽	t_equip_name_10803	70	79	3	10803	unit_1_08	3	2	1800	1	4	3	10	2|3|9|12	50
10804	冰原披肩	t_equip_name_10804	70	79	4	10804	unit_1_08	3	2	1800	1	4	3	10	2|3|9|12	50
10805	冰原手套	t_equip_name_10805	70	79	5	10805	unit_1_08	4	2	1800	1	4	3	10	2|3|9|12	50
10806	冰原皮甲	t_equip_name_10806	70	79	6	10806	unit_1_08	4	2	1800	1	4	3	10	2|3|9|12	50
10807	冰原腰带	t_equip_name_10807	70	79	7	10807	unit_1_08	1	2	1800	1	4	3	10	2|3|9|12	50
10808	冰原皮靴	t_equip_name_10808	70	79	8	10808	unit_1_08	1	2	1800	1	4	3	10	2|3|9|12	50
10901	圣痕	t_equip_name_10901	80	89	1	10901	unit_1_09	2	2	2000	1	5	3	10	2|3|9|12	50
10902	宽恕盾牌	t_equip_name_10902	80	89	2	10902	unit_1_09	2	2	2000	1	5	3	10	2|3|9|12	50
10903	骑士头盔	t_equip_name_10903	80	89	3	10903	unit_1_09	3	2	2000	1	5	3	10	2|3|9|12	50
10904	骑士肩甲	t_equip_name_10904	80	89	4	10904	unit_1_09	3	2	2000	1	5	3	10	2|3|9|12	50
10905	骑士手套	t_equip_name_10905	80	89	5	10905	unit_1_09	4	2	2000	1	5	3	10	2|3|9|12	50
10906	骑士战衣	t_equip_name_10906	80	89	6	10906	unit_1_09	4	2	2000	1	5	3	10	2|3|9|12	50
