等级	属性加成	成功率	失败掉级	道具1	数量1	金币
INT	INT	INT	INT	INT	INT	INT
*id	total_value	prob	fail	item_id	item_num	gold
0						
1	2	100	1	30020001	1	5000
2	4	100	1	30020001	1	10000
3	6	90	1	30020001	1	15000
4	8	90	1	30020001	1	20000
5	10	80	1	30020001	1	25000
6	14	80	1	30020002	1	30000
7	18	70	1	30020002	1	35000
8	22	70	1	30020002	1	40000
9	26	60	1	30020002	1	45000
10	30	60	1	30020002	1	50000
11	36	50	1	30020003	1	55000
12	42	50	1	30020003	1	60000
13	48	40	1	30020003	1	65000
14	54	40	1	30020003	1	70000
15	60	30	1	30020003	1	75000
16	70	30	1	30020004	1	80000
17	80	20	1	30020004	1	85000
18	90	20	1	30020004	1	90000
19	100	10	1	30020004	1	95000
20	110	10	1	30020004	1	100000
