类型	属性	品质	最小值	最大值
INT	INT	INT	INT	INT
type	value	color	min	max
1	1	2	30	60
1	2	2	30	60
1	3	2	30	60
1	4	2	30	60
1	11	2	30	60
1	12	2	30	60
1	13	2	30	60
1	14	2	30	60
1	15	2	30	60
1	16	2	30	60
1	1	3	30	60
1	2	3	30	60
1	3	3	30	60
1	4	3	30	60
1	11	3	30	60
1	12	3	30	60
1	13	3	30	60
1	14	3	30	60
1	15	3	30	60
1	16	3	30	60
1	21	3	20	100
1	22	3	20	100
1	23	3	20	100
1	24	3	20	100
1	31	3	20	100
1	32	3	20	100
1	33	3	20	100
1	34	3	20	100
1	35	3	20	100
1	36	3	20	100
1	1	4	30	60
1	2	4	30	60
1	3	4	30	60
1	4	4	30	60
1	11	4	30	60
1	12	4	30	60
1	13	4	30	60
1	14	4	30	60
1	15	4	30	60
1	16	4	30	60
1	21	4	20	100
1	22	4	20	100
1	23	4	20	100
1	24	4	20	100
1	31	4	20	100
1	32	4	20	100
1	33	4	20	100
1	34	4	20	100
1	35	4	20	100
1	36	4	20	100
1	51	4	20	100
1	52	4	20	100
1	53	4	20	100
1	54	4	20	100
1	55	4	20	100
1	56	4	20	100
1	57	4	20	100
1	58	4	20	100
1	59	4	20	100
1	60	4	20	100
1	61	4	20	100
1	62	4	20	100
1	1	5	30	60
1	2	5	30	60
1	3	5	30	60
1	4	5	30	60
1	11	5	30	60
1	12	5	30	60
1	13	5	30	60
1	14	5	30	60
1	15	5	30	60
1	16	5	30	60
1	21	5	20	100
1	22	5	20	100
1	23	5	20	100
1	24	5	20	100
1	31	5	20	100
1	32	5	20	100
1	33	5	20	100
1	34	5	20	100
1	35	5	20	100
1	36	5	20	100
1	51	5	20	100
1	52	5	20	100
1	53	5	20	100
1	54	5	20	100
1	55	5	20	100
1	56	5	20	100
1	57	5	20	100
1	58	5	20	100
1	59	5	20	100
1	60	5	20	100
1	61	5	20	100
1	62	5	20	100
2	1001	5	1	100
2	1002	5	1	100
2	1003	5	1	100
2	1004	5	1	100
2	1005	5	1	100
2	1006	5	1	100
2	1007	5	1	100
2	1008	5	1	100
2	1009	5	1	100
2	1010	5	1	100
2	1011	5	1	100
2	1012	5	1	100
2	1013	5	1	100
2	1014	5	1	100
2	1015	5	1	100
2	1016	5	1	100
2	1017	5	1	100
