id	名字	解锁类型 1等级 2地图	解锁参数	type	value1	value2	value3	材料type	材料value1	材料value2	材料value3	材料type	材料value1	材料value2	材料value3	材料type	材料value1	材料value2	材料value3	材料type	材料value1	材料value2	材料value3	金币
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
*id		unlock_type	unlock_param	type	value1	value2	value3	mat.0.type	mat.0.value1	mat.0.value2	mat.0.value3	mat.1.type	mat.1.value1	mat.1.value2	mat.1.value3	mat.2.type	mat.2.value1	mat.2.value2	mat.2.value3	mat.3.type	mat.3.value1	mat.3.value2	mat.3.value3	gold
10101	猎魂	2	1	3	10101	0	0	2	50010101	20	0	2	50010501	2	0									1000
10102	力量盾牌	2	1	3	10102	0	0	2	50010101	20	0	2	50010501	2	0									1000
10103	狂猎头盔	2	1	3	10103	0	0	2	50010201	20	0	2	50010501	2	0									1000
10104	狂猎肩甲	2	1	3	10104	0	0	2	50010201	20	0	2	50010501	2	0									1000
10105	狂猎手套	2	1	3	10105	0	0	2	50010301	20	0	2	50010501	2	0									1000
10106	狂猎锁甲	2	1	3	10106	0	0	2	50010301	20	0	2	50010501	2	0									1000
10107	狂猎腰带	2	1	3	10107	0	0	2	50010401	20	0	2	50010501	2	0									1000
10108	狂猎长靴	2	1	3	10108	0	0	2	50010401	20	0	2	50010501	2	0									1000
10201	契约	2	2	3	10201	0	0	2	50010101	40	0	2	50010502	4	0									2000
10202	信念盾牌	2	2	3	10202	0	0	2	50010101	40	0	2	50010502	4	0									2000
10203	胜利面具	2	2	3	10203	0	0	2	50010201	40	0	2	50010502	4	0									2000
10204	胜利护肩	2	2	3	10204	0	0	2	50010201	40	0	2	50010502	4	0									2000
10205	胜利手套	2	2	3	10205	0	0	2	50010301	40	0	2	50010502	4	0									2000
10206	胜利盔甲	2	2	3	10206	0	0	2	50010301	40	0	2	50010502	4	0									2000
10207	胜利腰带	2	2	3	10207	0	0	2	50010401	40	0	2	50010502	4	0									2000
10208	胜利短靴	2	2	3	10208	0	0	2	50010401	40	0	2	50010502	4	0									2000
10301	绝命	2	3	3	10301	0	0	2	50010101	60	0	2	50010503	6	0									3000
10302	斗魔盾牌	2	3	3	10302	0	0	2	50010101	60	0	2	50010503	6	0									3000
