id	名字	名字代号	颜色	type	描述	描述代号	ICON	预留字段1	预留字段2	预留字段3	预留字段4	价值	出售价格	获得途径
INT	STRING	STRING	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING
*id		#name	color	type		#desc	icon	res.0.value	res.1.value	res.2.value	res.3.value		sell	get
10010001	魔兽令牌	t_item_name_10010001	5	1001	可以前往魔兽聚集地，是挑战副本的必需品	t_item_desc_10010001	10010001					100	10	11|13
10010002	诸神遗物	t_item_name_10010002	5	1001	可以吸引到周围的神器的道具，是挑战神器副本的必需品	t_item_desc_10010002	10010002					100	10	8|11
10020001	宠物精华	t_item_name_10020001	5	1002	用来召唤宠物的道具	t_item_desc_10020001	10020001					100	10	11|13
10030001	幸运钥匙	t_item_name_10030001	5	1003	用来开启装备宝箱的钥匙	t_item_desc_10030001	10030001					20	10	11|13
10040001	宝石铲	t_item_name_10040001	5	1004	用来挖掘宝石的铲子	t_item_desc_10040001	10040001					200	10	11|13
30020001	祝福石	t_item_name_30020001	2	3002	装备+1-5的强化材料	t_item_desc_30020001	30020001					10	10	3
30020002	幸运石	t_item_name_30020002	3	3002	装备+6-10的强化材料	t_item_desc_30020002	30020002					100	10	3
30020003	灵魂石	t_item_name_30020003	4	3002	装备+11-15的强化材料	t_item_desc_30020003	30020003					1000	10	3
30020004	奇迹石	t_item_name_30020004	5	3002	装备+16-20的强化材料	t_item_desc_30020004	30020004					10000	10	3
30030001	低级饲料	t_item_name_30030001	2	3003	可为宠物提供10点经验	t_item_desc_30030001	30030001	10				10	10	5|12
30030002	中级饲料	t_item_name_30030002	3	3003	可为宠物提供50点经验	t_item_desc_30030002	30030002	50				50	10	5|12
30030003	高级饲料	t_item_name_30030003	4	3003	可为宠物提供200点经验	t_item_desc_30030003	30030003	200				200	10	5|12
30040001	重铸石	t_item_name_30040001	2	3004	改变装备优秀属性的材料	t_item_desc_30040001	30040001					10	10	10
30040002	改造石	t_item_name_30040002	3	3004	改变装备稀有属性的材料	t_item_desc_30040002	30040002					50	10	10
30040003	蜕变石	t_item_name_30040003	4	3004	改变装备史诗属性的材料	t_item_desc_30040003	30040003					250	10	10
30040004	混沌石	t_item_name_30040004	5	3004	改变装备传奇属性的材料	t_item_desc_30040004	30040004					1250	10	10
30050001	神器精华	t_item_name_30050001	3	3005	用来锻造神器所需要的材料	t_item_desc_30050001	30050001					50	10	4
50010101	魔铁	t_item_name_50010101	2	5001	常用的铁矿，含有微量的魔法元素	t_item_desc_50010101	50010101					1	10	1|5|10
