id	中文	英文
STRING	STRING	STRING
*id	c0	c1
t_artifact_name_3001	暗暮破晓	
t_artifact_name_3002	碎星者	
t_artifact_name_3003	风魔手里剑	
t_artifact_name_3004	隐身布	
t_artifact_name_3005	冥界之斧	
t_artifact_name_3006	吸血之镰	
t_artifact_name_3007	月神长弓	
t_artifact_name_3008	荆棘皇冠	
t_artifact_name_3009	女神的怒焰	
t_artifact_name_3010	福玻斯刺骨狼牙	
t_artifact_name_4001	亚特兰蒂斯圣环	
t_artifact_name_4002	阿伽门农面具	
t_artifact_name_4003	格因手镯	
t_artifact_name_4004	布里希嘉曼项链	
t_artifact_name_4005	赫拉的魔法球	
t_artifact_name_4006	拉戈尔	
t_artifact_name_4007	烘炉天锤	
t_artifact_name_4008	银之钥	
t_artifact_name_4009	黑羽披肩	
t_artifact_name_4010	启示录	
t_artifact_name_5001	监督者手环	
t_artifact_name_5002	银槲之剑	
t_artifact_name_5003	朗基努斯之枪	
t_artifact_name_5004	血腥王冠	
t_artifact_name_5005	天使之剑	
t_artifact_name_5006	姆乔尔尼尔	
t_artifact_name_5007	射杀百头	
t_artifact_name_5008	埃癸斯	
t_artifact_name_5009	冥王的隐身帽	
t_artifact_name_5010	欧罗巴的命运	
t_artifact_name_6001	赫格尼之剑	
t_artifact_name_6002	月神手镯	
t_artifact_name_6003	疾风漆黑矢	
t_artifact_name_6004	火种爆和快帚	
t_artifact_name_6005	二刀流	
t_artifact_name_6006	阿斯摩太翼镰	
t_artifact_name_6007	爱神之弓	
t_artifact_name_6008	魔苟斯的铁王冠	
t_artifact_name_6009	地狱瘟疫影陨	
t_artifact_name_6010	伊兰之灯	
t_artifact_name_7001	诸神黄昏	
t_artifact_name_7002	摩洛克伊面具	
t_artifact_name_7003	神之号角	
t_artifact_name_7004	阿拉克涅的披肩	
t_artifact_name_7005	莉莉丝的预言	
t_artifact_name_7006	伊西斯的祝福	
t_artifact_name_7007	奥西里斯权柄	
t_artifact_name_7008	至尊魔戒	
t_artifact_name_7009	太阳浩劫	
t_artifact_name_7010	幻世理想乡	
t_artifact_name_8001	穿心枪	
t_artifact_name_8002	莱万汀	
t_artifact_name_8003	生命之瓶	
t_artifact_name_8004	龙之宝玉奥普	
t_artifact_name_8005	埃吉斯	
t_artifact_name_8006	安德华拉诺特	
t_artifact_name_8007	冈尼尔	
t_artifact_name_8008	命运之石	
t_artifact_name_8009	艾瑞尼尔	
t_artifact_name_8010	格莱普尼尔	
t_artifact_name_9001	阿喀琉斯的护具	
t_artifact_name_9002	格拉墨	
t_artifact_name_9003	雅恩格利佩尔	
t_artifact_name_9004	力量腰带	
t_artifact_name_9005	纳吉尔法	
t_artifact_name_9006	雷沃汀	
t_artifact_name_9007	黄金长矛	
t_artifact_name_9008	尼奥尔德的桨	
t_artifact_name_9009	乌勒尔雪靴	
t_artifact_name_9010	希尔文	
t_artifact_name_10001	提尔锋	
t_artifact_name_10002	一言蔽之	
t_artifact_name_10003	乌勒尔的盾	
t_artifact_name_10004	布里欧纳克	
t_artifact_name_10005	里拉竖琴	
t_artifact_name_10006	流亡之刃	
t_artifact_name_10007	飞鞋	
t_artifact_name_10008	阿尔忒弥斯的弓箭	
t_artifact_name_10009	青铜盾	
t_artifact_name_10010	阿斯卡隆	
t_artifact_name_11001	女神权杖	
t_artifact_name_11002	女神的胜利花环	
t_artifact_name_11003	阿波罗的金球	
t_artifact_name_11004	太阳神的纹章	
t_artifact_name_11005	盘蛇短杖	
t_artifact_name_11006	尼德霍格之眼	
t_artifact_name_11007	雷霆	
t_artifact_name_11008	螺旋魔剑	
t_artifact_name_11009	伽耶伯格	
t_artifact_name_11010	斯基德普拉特尼	
t_artifact_name_12001	光之剑	
t_artifact_name_12002	纳吉尔法	
t_artifact_name_12003	莎拉维尔	
t_artifact_name_12004	鲁格之枪	
t_artifact_name_12005	佛拉格拉克	
t_artifact_name_12006	玛丽亚圣石	
t_artifact_name_12007	使徒十字	
t_artifact_name_12008	火焰斗篷	
t_artifact_name_12009	命运之轮	
t_artifact_name_12010	法典	
t_artifact_name_13001	美杜莎的眼睛	
t_artifact_name_13002	阿刻戎之矛	
t_artifact_name_13003	阿基里斯之盾	
t_artifact_name_13004	小丑匕首	
t_artifact_name_13005	金刚石之砂	
t_artifact_name_13006	星辰杖	
t_artifact_name_13007	神恩集	
t_artifact_name_13008	阿修罗项环	
t_artifact_name_13009	远征记	
t_artifact_name_13010	神元	
t_artifact_name_14001	黑龙的秘宝	
t_artifact_name_14002	维达靴子	
t_artifact_name_14003	芬里尔獠牙	
t_artifact_name_14004	狄俄尼索斯的酒	
t_artifact_name_14005	女神的召唤	
t_artifact_name_14006	沙玛什断头斧	
t_artifact_name_14007	侏儒的铁锤	
t_artifact_name_14008	细针	
t_artifact_name_14009	芙蕾雅的眼泪	
t_artifact_name_14010	狩猎女神猎靴	
t_artifact_name_15001	暗黑预言蛋	
t_artifact_name_15002	刺针	
t_artifact_name_15003	鹰之羽衣	
t_artifact_name_15004	火炬之光	
t_artifact_name_15005	战女神戒指	
t_artifact_name_15006	索菲亚天秤	
t_artifact_name_15007	金盾铠甲	
t_artifact_name_15008	风之力	
t_artifact_name_15009	生命之符	
t_artifact_name_15010	瓦雷利亚耳坠	
t_artifact_name_3101	真理之书	
t_artifact_name_3102	无限手套	
t_artifact_name_3103	辛西亚的魔镜	
t_artifact_name_3104	永恒之镜	
t_artifact_name_3105	燧石巨棒	
t_artifact_name_4101	杜兰德尔	
t_artifact_name_4102	罗兰的号角	
t_artifact_name_4103	赫尔莫德的翅膀	
t_artifact_name_4104	黄金之箭	
t_artifact_name_4105	诸王的王座	
t_artifact_name_5101	暗魔的靴子	
t_artifact_name_5102	红宝石魔坠	
t_artifact_name_5103	阿贝利希的诅咒	
t_artifact_name_5104	贤者之石	
t_artifact_name_5105	乌尔德之泉	
t_artifact_name_6101	腐皮之书	
t_artifact_name_6102	阿瑞斯长衣	
t_artifact_name_6103	天之锁	
t_artifact_name_6104	海德拉的毒液	
t_artifact_name_6105	赫卡忒的锡杖	
t_artifact_name_7101	尼伯龙根的指环	
t_artifact_name_7102	树中剑	
t_artifact_name_7103	黄金酒杯	
t_artifact_name_7104	圣杯	
t_artifact_name_7105	木马	
t_artifact_name_8101	密米尔之泉	
t_artifact_name_8102	尼米亚护手	
t_artifact_name_8103	伊卡洛斯翅膀	
t_artifact_name_8104	预言凉鞋	
t_artifact_name_8105	哈迪斯桂冠	
t_artifact_name_9101	唤雨短杖	
t_artifact_name_9102	万能腰带	
t_artifact_name_9103	雷云手套	
t_artifact_name_9104	地狱火炬	
t_artifact_name_9105	破坏神之手影	
t_artifact_name_10101	加尔的红宝石	
t_artifact_name_10102	黑玛瑙雕像	
t_artifact_name_10103	痛苦弩箭	
t_artifact_name_10104	海拉尔之盾	
t_artifact_name_10105	先知之手	
t_artifact_name_11101	死者之书	
t_artifact_name_11102	黄金发	
t_artifact_name_11103	弑神之枪	
t_artifact_name_11104	德摩斯双剑	
t_artifact_name_11105	歌神的竖琴	
t_artifact_name_12101	厄洛斯的守护	
t_artifact_name_12102	哈迪斯的宽恕	
t_artifact_name_12103	天穹之弓	
t_artifact_name_12104	德罗普尼尔	
t_artifact_name_12105	卢恩符文	
t_artifact_name_13101	阿瑞斯之剑	
t_artifact_name_13102	万符必应破戒	
t_artifact_name_13103	弥达斯手套	
t_artifact_name_13104	克洛诺斯魔方	
t_artifact_name_13105	许癸厄亚之杯	
t_artifact_name_14101	荷鲁斯之眼	
t_artifact_name_14102	米诺斯金斧	
t_artifact_name_14103	龙神吊坠	
t_artifact_name_14104	知识神之书	
t_artifact_name_14105	世界树枝	
t_artifact_name_15101	金羊毛	
t_artifact_name_15102	潘多拉魔盒	
t_artifact_name_15103	克洛诺斯镰刀	
t_artifact_name_15104	黄金苹果	
t_artifact_name_15105	至高王座	
t_artifact_desc_3001	柔和的暗光流转，挥动时散发流光	
t_artifact_desc_3002	连恒星都能粉碎的流行锤	
t_artifact_desc_3003	可直接进行打击也可用来投掷的特殊武器。会使被击中的敌人陷入疯狂	
