id	中文	英文
STRING	STRING	STRING
*id	c0	c1
Prefabs_Localization_0	龙之塔	
Prefabs_Localization_1	刷子工会	
Prefabs_Localization_2	酒馆	
Prefabs_Localization_3	竞技场	
Prefabs_Localization_4	出城	
Prefabs_Localization_5	商店	
Prefabs_Localization_6	猫头鹰	
Prefabs_Localization_7	名次{nn}	
Prefabs_Localization_8	玩家	
Prefabs_Localization_9	职业	
Prefabs_Localization_10	锻造	
Prefabs_Localization_11	强化	
Prefabs_Localization_12	强化等级	
Prefabs_Localization_13	主属性	
Prefabs_Localization_14	附加属性	
Prefabs_Localization_15	所需材料	
Prefabs_Localization_16	x	
Prefabs_Localization_17	使用	
Prefabs_Localization_18	-10	
Prefabs_Localization_19	10	
Prefabs_Localization_20	神器	
Prefabs_Localization_21	可以锻造	
Prefabs_Localization_22	已经拥有	
Prefabs_Localization_23	尚未拥有	
Prefabs_Localization_24	更换	
Prefabs_Localization_25	Boss	
Prefabs_Localization_26	剩余挑战次数	
Prefabs_Localization_27	神器属性	
Prefabs_Localization_28	level	
Prefabs_Localization_29	进阶	
Prefabs_Localization_30	进阶等级	
Prefabs_Localization_31	达到提升上限	
Prefabs_Localization_32	天赋	
Prefabs_Localization_33	回城中..	
Prefabs_Localization_34	原地遇敌	
Prefabs_Localization_35	金币单抽	
Prefabs_Localization_36	金币十连抽	
Prefabs_Localization_37	钻石单抽	
Prefabs_Localization_38	钻石十连抽	
Prefabs_Localization_39	召唤	
Prefabs_Localization_40	确定	
Prefabs_Localization_41	锻造确定	
Prefabs_Localization_42	背包	
Prefabs_Localization_43	角色	
Prefabs_Localization_44	锻造	
Prefabs_Localization_45	图鉴	
Prefabs_Localization_46	宠物	
Prefabs_Localization_47	怪物	
Prefabs_Localization_48	装备	
Prefabs_Localization_49	你的名字...	
Prefabs_Localization_50	请输入角色名称	
Prefabs_Localization_51	连接中..	
Prefabs_Localization_52	技能选择	
Prefabs_Localization_53	技能解锁	
Prefabs_Localization_54	被动解锁	
Prefabs_Localization_55	技能1	
Prefabs_Localization_56	技能2	
Prefabs_Localization_57	技能3	
Prefabs_Localization_58	被动技能	
Prefabs_Localization_59	详情	
Prefabs_Localization_60	角色	
Prefabs_Localization_61	技能	
Prefabs_Localization_62	购买	
Prefabs_Localization_63	1111111	
Prefabs_Localization_64	掉落奖励	
Prefabs_Localization_65	通过以下途径提升自己	
Prefabs_Localization_66	强化装备	
Prefabs_Localization_67	提升等级	
Prefabs_Localization_68	装备镶嵌	
Prefabs_Localization_69	装备附魔	
Prefabs_Localization_70	宠物提升	
Prefabs_Localization_71	获取神器	
Prefabs_Localization_72	点击屏幕继续	
Prefabs_Localization_73	无	
Prefabs_Localization_74	附魔	
Prefabs_Localization_75	邮件	
Prefabs_Localization_76	全部领取	
Prefabs_Localization_77	领取	
Prefabs_Localization_78	镶嵌	
Prefabs_Localization_79	重铸	
Prefabs_Localization_80	培养	
Prefabs_Localization_81	分解	
Prefabs_Localization_82	高级附魔	
Prefabs_Localization_83	挂机收益	
Prefabs_Localization_84	获得物品	
Prefabs_Localization_85		
Prefabs_Localization_86	批量分解	
Prefabs_Localization_87	获得	
Prefabs_Localization_88	取消	
Prefabs_Localization_89	最小	
Prefabs_Localization_90	最大	
Prefabs_Localization_91	出售	
Prefabs_Localization_92	登陆	
Prefabs_Localization_93	找回密码	
Prefabs_Localization_94	修改密码	
Prefabs_Localization_95	注册账号	
Prefabs_Localization_96	登录	
Prefabs_Localization_97	游客登录	
Prefabs_Localization_98	游客登录可能伴随账号丢失风险，为了您的账号安全，请尽快注册账号	
Prefabs_Localization_99	继续登录	
Prefabs_Localization_100	游客绑定	
Prefabs_Localization_101	6~18位字符	
Prefabs_Localization_102	输入正确的邮箱地址方便您找回您的账号密码	
Prefabs_Localization_103	注册	
Prefabs_Localization_104	请输入注册时的绑定邮箱，我们会将账号密码发送至此邮箱中	
Prefabs_Localization_105	电子邮箱地址	
Prefabs_Localization_106	开始	
Prefabs_Localization_107	我已详细阅读并同意了	
Prefabs_Localization_108	游戏许可及服务协议	
Prefabs_Localization_109	big_green	
Prefabs_Localization_110	任意点击继续	
Prefabs_Localization_111	签到	
Prefabs_Localization_112	New Text	
Prefabs_Localization_113	升级	
Prefabs_Localization_114	合成	
Prefabs_Localization_115	副本	
Prefabs_Localization_116	掉落物品	
Prefabs_Localization_117	战斗	
Prefabs_Localization_118	传送门	
Prefabs_Localization_119	传送	
Prefabs_Localization_120	怪物详情	
Prefabs_Localization_121	提示	
Prefabs_Localization_122	剧情	
Prefabs_Localization_123	xx-xx级套装	
Prefabs_Localization_124	最高排名	
Prefabs_Localization_125	当前排名 - 100	
Prefabs_Localization_126	累计胜负 - 32/48	
Prefabs_Localization_127	前30排名	
Prefabs_Localization_128	挑战	
Prefabs_Localization_129	排名	
Prefabs_Localization_130	奖励	
Prefabs_Localization_131	战斗力	
Prefabs_Localization_132	强度	
Prefabs_Localization_133	开始挑战	
Prefabs_Localization_134	开始扫荡	
Prefabs_Localization_135	信息	
Prefabs_Localization_136	扫荡	
Prefabs_Localization_137	任务	
Prefabs_Localization_138	喂养	
Prefabs_Localization_139	属性提升	
Prefabs_Localization_140	数量：99	
Prefabs_Localization_141	长按可连续喂养	
Prefabs_Localization_142	勾选你需要重铸的属性	
Prefabs_Localization_143	解锁提示	
Prefabs_Localization_144	输入角色名称	
Prefabs_Localization_145	设置	
Prefabs_Localization_146	音量设置	
Prefabs_Localization_147	礼包兑换	
Prefabs_Localization_148	排行榜	
Prefabs_Localization_149	音乐	
Prefabs_Localization_150	音效	
Prefabs_Localization_151	重置	
Prefabs_Localization_152	请输入礼包码	
Prefabs_Localization_153	兑换礼包	
Prefabs_Localization_154	修改	
Prefabs_Localization_155	ID:	
Prefabs_Localization_156	切换账号	
Prefabs_Localization_157	选择	
Prefabs_Localization_158	选中	
Prefabs_Localization_159	修改名称	
Prefabs_Localization_160	输入新的角色名称	
Prefabs_Localization_161	获得:	
Prefabs_Localization_162	攻击 +100	
Prefabs_Localization_163	100%	
Prefabs_Localization_164	+	
Prefabs_Localization_165	数量:	
Prefabs_Localization_166	成就	
Prefabs_Localization_167	物 品	
Prefabs_Localization_168	关 闭	
Prefabs_Localization_169	更 换	
Prefabs_Localization_170	修改名字	
Prefabs_Localization_171	输入新的角色名字	
Prefabs_Localization_172	喂 养	
Prefabs_Localization_173	购 买	
Prefabs_Localization_174	变 强	
Prefabs_Localization_175	日常任务的积分将在每日凌晨05：00重置	
Prefabs_Localization_176	每日任务	
Prefabs_Localization_177	宠 物	
Prefabs_Localization_178	购 买	
Prefabs_Localization_179	宠 物	
Prefabs_Localization_180	锻 造	
Prefabs_Localization_181	铁匠铺	
Prefabs_Localization_182	杂货店	
Prefabs_Localization_183	装 备	
Prefabs_Localization_184	解锁奖励	
Prefabs_Localization_185	获得途径	
Prefabs_Localization_186	外观	
Prefabs_Localization_187	主动技能	
Prefabs_Localization_188	已达到最大等级	
Prefabs_Localization_189	神 器	
Prefabs_Localization_190	属性	
Prefabs_Localization_191	附 魔	
Prefabs_Localization_192	打造	
Prefabs_Localization_193	技 能	
Prefabs_Localization_194	下一等级	
Prefabs_Localization_195	倒计时:	
Prefabs_Localization_196	宝石水晶单抽	
Prefabs_Localization_197	宠物水晶单抽	
Prefabs_Localization_198	装备水晶单抽	
Prefabs_Localization_199	宠物召唤	
Prefabs_Localization_200	装备召唤	
Prefabs_Localization_201	宝石召唤	
Prefabs_Localization_202	一键翻牌	
Prefabs_Localization_203	详 情	
