标识	章节	类型	难度	X	Y	冷却	前置任务	对话	怪	经验倍率	金币倍率	掉落组1	掉落组1概率	掉落1次数	掉落组2	掉落组2概率	掉落2次数	type0	value1	value2	value3	rate	掉落次数	type1	value1	value2	value3	rate	掉落次数	type2	value1	value2	value3	rate	掉落次数
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
*id	chapter	type	diff	x	y	cd	task	dialog	monsterid	exp_bonus	gold_bonus	dropgroup.0.id	dropgroup.0.rate	dropgroup.0.num	dropgroup.1.id	dropgroup.1.rate	dropgroup.1.num	drops.0.type	drops.0.value1	drops.0.value2	drops.0.value3	drops.0.rate	drops.0.num	drops.1.type	drops.1.value1	drops.1.value2	drops.1.value3	drops.1.rate	drops.1.num	drops.2.type	drops.2.value1	drops.2.value2	drops.2.value3	drops.2.rate	drops.2.num
100101	1	2	5	35	43	1800000		40101001	1001	1000	1000	1001	50000	8	2001	10000	1	2	50010101	1	0	400000	10	2	50010501	1	0	1000000	1						
100102	1	1	4	35	43			40101001	1001	200	200	1001	20000	1				2	50010101	1	0	400000	2												
100103	1	1	1	35	43			40101001	1001	100	100	1001	10000	1				2	50010101	1	0	400000	1												
100201	1	2	5	15	31	1800000	10103000	40101002	1002	1000	1000	1001	50000	8	2001	10000	1	2	50010201	1	0	400000	10	2	50010501	1	0	1000000	1						
100202	1	1	4	15	31			40101002	1002	200	200	1001	20000	1				2	50010201	1	0	400000	2												
100203	1	1	1	15	31			40101002	1002	100	100	1001	10000	1				2	50010201	1	0	400000	1												
100301	1	2	5	23	16	1800000	10104000	40101003	1003	1000	1000	1001	50000	8	2001	10000	1	2	50010301	1	0	400000	10	2	50010501	1	0	1000000	1						
100302	1	1	4	23	16			40101003	1003	200	200	1001	20000	1				2	50010301	1	0	400000	2												
100303	1	1	1	23	16			40101003	1003	100	100	1001	10000	1				2	50010301	1	0	400000	1												
100401	1	2	5	38	11	1800000	10105000	40101004	1004	1000	1000	1001	50000	8	2001	10000	1	2	50010401	1	0	400000	10	2	50010501	1	0	1000000	1						
100402	1	1	4	38	11			40101004	1004	200	200	1001	20000	1				2	50010401	1	0	400000	2												
100403	1	1	1	38	11			40101004	1004	100	100	1001	10000	1				2	50010401	1	0	400000	1												
100501	1	2	5	52	31	1800000	10106000	40101005	1005	1000	1000	1001	50000	8	2001	10000	1	2	50010101	1	0	400000	10	2	50010501	1	0	1000000	1						
100502	1	1	4	52	31			40101005	1005	200	200	1001	20000	1				2	50010101	1	0	400000	2												
100503	1	1	1	52	31			40101005	1005	100	100	1001	10000	1				2	50010101	1	0	400000	1												
100601	1	2	5	34	32	1800000	10107000	40101006	1006	1000	1000	1001	50000	8	2001	10000	1	2	50010201	1	0	400000	10	2	50010501	1	0	1000000	1						
100602	1	1	4	34	32			40101006	1006	200	200	1001	20000	1				2	50010201	1	0	400000	2												
100603	1	1	1	34	32			40101006	1006	100	100	1001	10000	1				2	50010201	1	0	400000	1												
100701	1	2	5	23	50	1800000	10108000	40101007	1007	1000	1000	1001	50000	8	2001	10000	1	2	50010301	1	0	400000	10	2	50010501	1	0	1000000	1						
100702	1	1	4	23	50			40101007	1007	200	200	1001	20000	1				2	50010301	1	0	400000	2												
100703	1	1	1	23	50			40101007	1007	100	100	1001	10000	1				2	50010301	1	0	400000	1												
100801	1	2	5	36	59	1800000	10109000	40101008	1008	1000	1000	1001	50000	8	2001	10000	1	2	50010401	1	0	400000	10	2	50010501	1	0	1000000	1						
100802	1	1	4	36	59			40101008	1008	200	200	1001	20000	1				2	50010401	1	0	400000	2												
100803	1	1	1	36	59			40101008	1008	100	100	1001	10000	1				2	50010401	1	0	400000	1												
100901	1	2	5	46	72	1800000	10110000	40101009	1009	1000	1000	1001	50000	8	2001	10000	1	2	50010101	1	0	400000	10	2	50010501	1	0	1000000	1						
100902	1	1	4	46	72			40101009	1009	200	200	1001	20000	1				2	50010101	1	0	400000	2												
100903	1	1	1	46	72			40101009	1009	100	100	1001	10000	1				2	50010101	1	0	400000	1												
101001	1	2	5	59	58	1800000	10111000	40101010	1010	1000	1000	1002	50000	8	2002	10000	1	2	50010201	1	0	400000	10	2	50010501	1	0	1000000	1						
101002	1	1	4	59	58			40101010	1010	200	200	1002	20000	1				2	50010201	1	0	400000	2												
101003	1	1	1	59	58			40101010	1010	100	100	1002	10000	1				2	50010201	1	0	400000	1												
200101	2	2	5	55	62	1800000		40201001	2001	1000	1000	1002	50000	4	2002	10000	1	2	50010301	1	0	300000	10	2	50010502	1	0	750000	1						
200102	2	1	4	55	62			40201001	2001	200	200	1002	20000	1				2	50010301	1	0	300000	2												
200103	2	1	1	55	62			40201001	2001	100	100	1002	10000	1				2	50010301	1	0	300000	1												
200201	2	2	5	43	66	1800000	10201000	40201002	2002	1000	1000	1002	50000	4	2002	10000	1	2	50010401	1	0	300000	10	2	50010502	1	0	750000	1						
200202	2	1	4	43	66			40201002	2002	200	200	1002	20000	1				2	50010401	1	0	300000	2												
200203	2	1	1	43	66			40201002	2002	100	100	1002	10000	1				2	50010401	1	0	300000	1												
200301	2	2	5	28	55	1800000	10202000	40201003	2003	1000	1000	1002	50000	4	2002	10000	1	2	50010101	1	0	300000	10	2	50010502	1	0	750000	1						
200302	2	1	4	28	55			40201003	2003	200	200	1002	20000	1				2	50010101	1	0	300000	2												
200303	2	1	1	28	55			40201003	2003	100	100	1002	10000	1				2	50010101	1	0	300000	1												
200401	2	2	5	18	35	1800000	10203000	40201004	2004	1000	1000	1002	50000	4	2002	10000	1	2	50010201	1	0	300000	10	2	50010502	1	0	750000	1						
200402	2	1	4	18	35			40201004	2004	200	200	1002	20000	1				2	50010201	1	0	300000	2												
200403	2	1	1	18	35			40201004	2004	100	100	1002	10000	1				2	50010201	1	0	300000	1												
200501	2	2	5	22	25	1800000	10204000	40201005	2005	1000	1000	1002	50000	4	2002	10000	1	2	50010301	1	0	300000	10	2	50010502	1	0	750000	1						
200502	2	1	4	22	25			40201005	2005	200	200	1002	20000	1				2	50010301	1	0	300000	2												
200503	2	1	1	22	25			40201005	2005	100	100	1002	10000	1				2	50010301	1	0	300000	1												
