id	名字	名字代号	icon	事件类型 1人 2建筑	地图	坐标x	坐标y	剧情	出现条件	出现条件	退场条件	建筑位置偏移
INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
*id		#name	icon	npc_type	map	x	y	director	appear	appear2	exit	offset_x
1	公会接待员:雪莱	t_npc_name_1	2	1	0			50000002				
2	公会后勤管理员:缇娜	t_npc_name_2	6	1	0			50000001			10102000	
3	任务管理员:伊迪丝	t_npc_name_3	3	1	0			50000003	10211000			
4	杂货店老板:泰勒	t_npc_name_4	5	1	0			50000004	10113000	20101004	20201002	
1000	铁匠:卡普	t_npc_name_1000	1001	1	1	38	19	50011000			20101004	
1001	帕莎	t_npc_name_1001	1	1	1	30	34	50011001			20102002	
2001	小花妖	t_npc_name_2001	2001	1	2	58	34	50002001				
2002	铁匠:卡普	t_npc_name_2002	1001	1	0			50002002	10113000	20101004	20203002	
3000	铁匠:卡普	t_npc_name_3000	1001	1	0			50002002	10211000	20203002	20302002	
3001	龙之塔管理员:安吉拉	t_npc_name_3001	6	1	0			50003001	10211000		20303002	
3002	机智的商人:卡隆	t_npc_name_3002	5	1	0			50003002	10211000	20301002	20304002	
4000	铁匠:卡普	t_npc_name_4000	1001	1	0			50002002	10311000	20302002	20401002	
4001	竞技场管理员:赛琳娜	t_npc_name_4001	1	1	0			50004001	10311000	20303002	20402002	
