id	Ãû×Ö	Ãû×Ö´úºÅ	ÑÕÉ«	icon	ÉúÃü	¹¥»÷	Îï·À	Ä§·À	Ìì¸³	Ìì¸³	Ìì¸³	ËéÆ¬ID	ºÏ³ÉËùĞèËéÆ¬	»ñµÃÍ¾¾¶	½âËøÉùÍû
INT	STRING	STRING	INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	STRING	INT
*id		#name	color	icon	attrs.0.value	attrs.1.value	attrs.2.value	attrs.3.value	talent.0.id	talent.1.id	talent.2.id	shard_id	shard_num	get	reputation
2001	×í¾ÆĞÜÃ¨	t_pet_name_2001	2	2001	1.6	1.8	1.8	1.6	1021			70012001	20	5|12	20
2002	²òÀÇ	t_pet_name_2002	2	2002	2.2	1.8	2	2.2	1023			70012002	20	5|12	20
2003	°×ĞÜ	t_pet_name_2003	2	2003	1.8	1.6	2.2	2.2	1024			70012003	20	5|12	20
2004	»¨±ª	t_pet_name_2004	2	2004	2	1.6	2	1.8	1031			70012004	20	5|12	20
2005	ÁÒÑæ·ï»Ë	t_pet_name_2005	2	2005	1.6	1.8	2.2	2	1057			70012005	20	5|12	20
2006	òáòæÈË	t_pet_name_2006	2	2006	1.6	2	2	1.6	1058			70012006	20	5|12	20
2007	ÓÄÚ¤¶À½ÇÊŞ	t_pet_name_2007	2	2007	1.6	2	1.8	2.2	1059			70012007	20	5|12	20
2008	¾ç¶¾½Çòá	t_pet_name_2008	2	2008	2.2	2	2.2	2.2	1060			70012008	20	5|12	20
2009	Ìú¼×Ê¨ğÕ	t_pet_name_2009	2	2009	1.6	2.2	1.6	2	1061			70012009	20	5|12	20
2010	³ãÑæòáòæ	t_pet_name_2010	2	2010	1.6	2	2	1.8	1062			70012010	20	5|12	20
3001	º®±ùòáòæ	t_pet_name_3001	3	3001	3	3.3	2.7	3.3	1022			70013001	50	5|12	40
3002	ÕÓÔóöóÓã	t_pet_name_3002	3	3002	2.4	2.4	3.3	2.7	1033			70013002	50	5|12	40
3003	ÇàÃæÊŞ	t_pet_name_3003	3	3003	3.3	2.7	2.7	2.7	1035			70013003	50	5|12	40
3004	ÈĞ½ÇÓ¥	t_pet_name_3004	3	3004	2.7	3	2.4	3	1036			70013004	50	5|12	40
3005	°µºÚÄ§ÀÇ	t_pet_name_3005	3	3005	2.4	3	3.3	3.3	1038			70013005	50	5|12	40
3006	Áé¶¯òğ	t_pet_name_3006	3	3006	2.7	3	3.3	2.7	1051			70013006	50	5|12	40
3007	××Ã«Öí	t_pet_name_3007	3	3007	2.7	3	2.4	3	1053			70013007	50	5|12	40
3008	´ó×ìÊŞ	t_pet_name_3008	3	3008	3	3	2.4	2.4	1054			70013008	50	5|12	40
3009	É­ÁÖÀÇ	t_pet_name_3009	3	3009	2.7	3	3	2.7	1055			70013009	50	5|12	40
3010	ßÖ×ìèÉ	t_pet_name_3010	3	3010	2.4	2.7	3	2.7	1056			70013010	50	5|12	40
4001	Â¹½ÇŞ´È®	t_pet_name_4001	4	4001	4	3.2	4	3.2	2021	2022		70014001	80	5|12	60
4002	ºÚ±ª	t_pet_name_4002	4	4002	3.6	3.2	3.6	3.6	2023	2033		70014002	80	5|12	60
4003	ÈËÓãÊ¿±ø	t_pet_name_4003	4	4003	3.6	4.4	4	4.4	2024	2035		70014003	80	5|12	60
4004	²ÔÀÇ	t_pet_name_4004	4	4004	4.4	3.6	3.6	3.6	2031	2036		70014004	80	5|12	60
4005	´íÑÀ¹Ö	t_pet_name_4005	4	4005	4.4	4	3.6	4.4	2057	2038		70014005	80	5|12	60
4006	°×»¢	t_pet_name_4006	4	4006	4.4	3.6	3.2	4.4	2058	2051		70014006	80	5|12	60
4007	Ñ©Ê¨	t_pet_name_4007	4	4007	3.2	3.6	3.2	3.2	2059	2053		70014007	80	5|12	60
4008	Òì»¯ÊŞ	t_pet_name_4008	4	4008	4	4.4	3.2	3.6	2060	2054		70014008	80	5|12	60
4009	ÇàÓñµñ	t_pet_name_4009	4	4009	3.6	4.4	3.6	4	2061	2055		70014009	80	5|12	60
4010	ÑÛ¾µÍõÉß	t_pet_name_4010	4	4010	4.4	3.6	3.2	3.6	2062	2056		70014010	80	5|12	60
5001	²İÔ­Ê¨	t_pet_name_5001	5	5001	4	4.5	4	4	3021	3022	3074	70015001	150	5|12	80
5002	³¤¶úÄ§	t_pet_name_5002	5	5002	4.5	4.5	4.5	5	3023	3033	3079	70015002	150	5|12	80
5003	ÅÖÁú	t_pet_name_5003	5	5003	4.5	5.5	5.5	5	3024	3035	3081	70015003	150	5|12	80
5004	³¤½ÇÑ©ÈË	t_pet_name_5004	5	5004	4.5	5	4	4.5	3031	3036	3039	70015004	150	5|12	80
5005	Àû³İÊ¨	t_pet_name_5005	5	5005	5	4	4	4.5	3057	3038	3040	70015005	150	5|12	80
5006	ÇàÑÛ°×ºü	t_pet_name_5006	5	5006	4	4.5	4.5	5.5	3058	3051	3074	70015006	150	5|12	80
5007	Àû³İÊŞ	t_pet_name_5007	5	5007	4.5	4.5	4	4	3059	3053	3079	70015007	150	5|12	80
5008	¶À½ÇÊŞ	t_pet_name_5008	5	5008	5.5	5	5.5	4	3060	3054	3081	70015008	150	5|12	80
5009	¼âÑÀÒ°Öí	t_pet_name_5009	5	5009	4	4.5	5.5	5	3061	3055	3039	70015009	150	5|12	80
5010	µç»¡ÀÇ	t_pet_name_5010	5	5010	5	4.5	5	5	3062	3056	3040	70015010	150	5|12	80
