id	所属任务	前置	描述	提示	提示	描述	地点	任务目标点X	任务目标点Y	有感叹号的NPCid	事件类型 1对话 2打怪 3采集 4交材料 5打怪计数 6穿戴装备 7打造装备 8学习技能 9达到等级 10战力达到 11副本 12打精英怪 13单独精英怪 14龙之塔 15竞技场	事件参数1	事件参数2	事件参数3	事件参数4	奖励1	奖励1	奖励1	奖励1	奖励2	奖励2	奖励2	奖励2	奖励3	奖励3	奖励3	奖励3
INT	INT	INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
*id	quest	pre_sub			#tishi	#desc	map	tar_x	tar_y	npcid	event_type	event_param1	event_param2	event_param3	event_param4	reward.0.type	reward.0.value1	reward.0.value2	reward.0.value3	reward.1.type	reward.1.value1	reward.1.value2	reward.1.value3	reward.2.type	reward.2.value1	reward.2.value2	reward.2.value3
10101000	10101	0	找<color=#fdc83a>缇娜</color>小姐领取武器	获得武器一把	t_quest_sub_tishi_10101000	t_quest_sub_desc_10101000				2	1	10100200				3	10101	1	1								
10102000	10101	10101000	装备<color=#fdc83a>武器</color>			t_quest_sub_desc_10102000					6																
10103000	10101	10102000	消灭传说魔兽<color=#fdc83a>鹿</color>	消灭鹿一个	t_quest_sub_tishi_10103000	t_quest_sub_desc_10103000	1	35	43		13	100101	1			1	3	10	1								
10104000	10101	10103000	消灭传说魔兽<color=#fdc83a>螃蟹</color>	消灭螃蟹一个	t_quest_sub_tishi_10104000	t_quest_sub_desc_10104000	1	15	31		13	100201	1			1	3	20	1								
10105000	10101	10104000	消灭传说魔兽<color=#fdc83a>巫婆</color>	消灭巫婆一个	t_quest_sub_tishi_10105000	t_quest_sub_desc_10105000	1	23	16		13	100301	1			1	3	40	1								
10106000	10101	10105000	消灭传说魔兽<color=#fdc83a>渔夫</color>	消灭渔夫一个	t_quest_sub_tishi_10106000	t_quest_sub_desc_10106000	1	38	11		13	100401	1			1	3	60	1								
10107000	10101	10106000	消灭传说魔兽<color=#fdc83a>哥布林战士</color>	消灭哥布林战士一个	t_quest_sub_tishi_10107000	t_quest_sub_desc_10107000	1	52	31		13	100501	1			1	3	60	1								
10108000	10101	10107000	消灭传说魔兽<color=#fdc83a>哥布林法师</color>	消灭哥布林法师一个	t_quest_sub_tishi_10108000	t_quest_sub_desc_10108000	1	34	32		13	100601	1			1	3	80	1								
10109000	10101	10108000	消灭传说魔兽<color=#fdc83a>熊</color>	消灭熊一个	t_quest_sub_tishi_10109000	t_quest_sub_desc_10109000	1	23	50		13	100701	1			1	3	80	1								
10110000	10101	10109000	消灭传说魔兽<color=#fdc83a>盗贼</color>	消灭盗贼一个	t_quest_sub_tishi_10110000	t_quest_sub_desc_10110000	1	36	59		13	100801	1			1	3	100	1								
10111000	10101	10110000	消灭传说魔兽<color=#fdc83a>哥布林狂战士</color>	消灭哥布林狂战士一个	t_quest_sub_tishi_10111000	t_quest_sub_desc_10111000	1	46	72		13	100901	1			1	3	100	1								
10112000	10101	10111000	消灭传说魔兽<color=#fdc83a>哥布林先知</color>	消灭哥布林先知一个	t_quest_sub_tishi_10112000	t_quest_sub_desc_10112000	1	59	58		13	101001	1			1	3	120	1								
10113000	10101	10112000	回复<color=#fdc83a>雪莱</color>任务完成			t_quest_sub_desc_10113000				1	1	10100300				1	3	150	1								
10201000	10101	10113000	消灭传说魔兽<color=#fdc83a>史莱姆</color>	消灭史莱姆一个	t_quest_sub_tishi_10201000	t_quest_sub_desc_10201000	2	55	62		13	200101	1			1	3	300	1								
