id	NAME	代号	icon	icon1	等级	类型	颜色	属性1	属性1	价值	获得途径
INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING
*id		#name	icon	icon1	level	type	color	attr_id	attr_value		get
1001	1级生命宝石	t_rune_name_1001	1001	s1001	1	1	1	21	1	60	11
1002	2级生命宝石	t_rune_name_1002	1001	s1001	2	1	1	21	2	120	11
1003	3级生命宝石	t_rune_name_1003	1001	s1001	3	1	2	21	3	240	11
1004	4级生命宝石	t_rune_name_1004	1001	s1001	4	1	2	21	4	480	11
1005	5级生命宝石	t_rune_name_1005	1001	s1001	5	1	3	21	5	960	11
1006	6级生命宝石	t_rune_name_1006	1001	s1001	6	1	3	21	6	1920	11
1007	7级生命宝石	t_rune_name_1007	1001	s1001	7	1	4	21	7	3840	11
1008	8级生命宝石	t_rune_name_1008	1001	s1001	8	1	4	21	8	7680	11
1009	9级生命宝石	t_rune_name_1009	1001	s1001	9	1	5	21	9	15360	11
1010	10级生命宝石	t_rune_name_1010	1001	s1001	10	1	5	21	10	30720	11
2001	1级攻击宝石	t_rune_name_2001	2001	s2001	1	2	1	22	1	50	11
2002	2级攻击宝石	t_rune_name_2002	2001	s2001	2	2	1	22	2	100	11
2003	3级攻击宝石	t_rune_name_2003	2001	s2001	3	2	2	22	3	200	11
2004	4级攻击宝石	t_rune_name_2004	2001	s2001	4	2	2	22	4	400	11
2005	5级攻击宝石	t_rune_name_2005	2001	s2001	5	2	3	22	5	800	11
2006	6级攻击宝石	t_rune_name_2006	2001	s2001	6	2	3	22	6	1600	11
2007	7级攻击宝石	t_rune_name_2007	2001	s2001	7	2	4	22	7	3200	11
2008	8级攻击宝石	t_rune_name_2008	2001	s2001	8	2	4	22	8	6400	11
2009	9级攻击宝石	t_rune_name_2009	2001	s2001	9	2	5	22	9	12800	11
2010	10级攻击宝石	t_rune_name_2010	2001	s2001	10	2	5	22	10	25600	11
3001	1级物防宝石	t_rune_name_3001	3001	s3001	1	3	1	23	1	50	11
3002	2级物防宝石	t_rune_name_3002	3001	s3001	2	3	1	23	2	100	11
3003	3级物防宝石	t_rune_name_3003	3001	s3001	3	3	2	23	3	200	11
3004	4级物防宝石	t_rune_name_3004	3001	s3001	4	3	2	23	4	400	11
3005	5级物防宝石	t_rune_name_3005	3001	s3001	5	3	3	23	5	800	11
3006	6级物防宝石	t_rune_name_3006	3001	s3001	6	3	3	23	6	1600	11
3007	7级物防宝石	t_rune_name_3007	3001	s3001	7	3	4	23	7	3200	11
3008	8级物防宝石	t_rune_name_3008	3001	s3001	8	3	4	23	8	6400	11
