id	名字	商店类型 1限购商店 2 钻石商店 3 声望商店	解锁地图	购买次数	type	value1	value2	value3	价格表	单价购买value1	单价购买value2	折扣
INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
*id		shop_type	unlock_map	buy_num	type	value1	value2	value3	price_table	price_value1	price_value2	discount
1001	灵魂宝玉	1	1	1	2	50010501	10	0		2	50	5
1002	魔兽毒囊	1	2	1	2	50010502	10	0		2	50	5
1003	魔兽利爪	1	3	1	2	50010503	10	0		2	50	5
1004	死灵面具	1	4	1	2	50010504	10	0		2	50	5
1005	恶魔利爪	1	5	1	2	50010505	10	0		2	50	5
1006	魔之眼	1	6	1	2	50010506	10	0		2	50	5
1007	圣塔模型	1	7	1	2	50010507	10	0		2	50	5
1008	冰霜之冠	1	8	1	2	50010508	10	0		2	50	5
1009	公爵纹章	1	9	1	2	50010509	10	0		2	50	5
1010	星天灵砂	1	10	1	2	50010510	10	0		2	50	5
1011	魔神心脏	1	11	1	2	50010511	10	0		2	50	5
1012	深海之珠	1	12	1	2	50010512	10	0		2	50	5
1013	龙神翼爪	1	13	1	2	50010513	10	0		2	50	5
1014	初始之光	1	14	1	2	50010514	10	0		2	50	5
1015	天使之魂	1	15	1	2	50010515	10	0		2	50	5
1016	魔兽令牌	1		2	2	10010001	1	0		2	50	5
1017	诸神遗物	1		2	2	10010002	1	0		2	50	5
1018	祝福石	1		5	2	30020001	1	0		2	5	5
1019	幸运石	1		2	2	30020002	1	0		2	50	5
1020	技能精华	1		2	2	60010001	1	0		2	50	5
2001	魔兽令牌	2			2	10010001	1	0		5	100	
2002	诸神遗物	2			2	10010002	1	0		5	100	
2003	宠物精华	2			2	10020001	1	0		5	100	
2004	幸运钥匙	2			2	10030001	1	0		5	20	
2005	宝石铲	2			2	10040001	1	0		5	200	
2006	祝福石	2			2	30020001	1	0		5	10	
2007	幸运石	2			2	30020002	1	0		5	100	
2008	低级饲料	2			2	30030001	1	0		5	10	
2009	中级饲料	2			2	30030002	1	0		5	50	
2010	魔铁	2	1|2|3		2	50010101	100	0		5	100	
2011	坚铜	2	4|5|6		2	50010102	100	0		5	100	
2012	清银	2	7|8|9		2	50010103	100	0		5	100	
2013	秘银	2	10|11|12		2	50010104	100	0		5	100	
2014	精金	2	13|14|15		2	50010105	100	0		5	100	
2015	毛发	2	1|2|3		2	50010201	100	0		5	100	
2016	呢绒	2	4|5|6		2	50010202	100	0		5	100	
2017	纤维布	2	7|8|9		2	50010203	100	0		5	100	
2018	巨龙革	2	10|11|12		2	50010204	100	0		5	100	
2019	星鹃布	2	13|14|15		2	50010205	100	0		5	100	
2020	羽毛	2	1|2|3		2	50010301	100	0		5	100	
2021	兽角	2	4|5|6		2	50010302	100	0		5	100	
2022	硬壳	2	7|8|9		2	50010303	100	0		5	100	
2023	利齿	2	10|11|12		2	50010304	100	0		5	100	
2024	珍宝	2	13|14|15		2	50010305	100	0		5	100	
2025	腐液	2	1|2|3		2	50010401	100	0		5	100	
2026	头骨	2	4|5|6		2	50010402	100	0		5	100	
2027	龙角	2	7|8|9		2	50010403	100	0		5	100	
2028	图腾	2	10|11|12		2	50010404	100	0		5	100	
2029	神元	2	13|14|15		2	50010405	100	0		5	100	
2030	技能精华	2			2	60010001	1	0		5	100	
3001	金币	3			1	1	100000	0	2	2		
3002	魔兽令牌	3			2	10010001	1	0		2	100	
3003	诸神遗物	3			2	10010002	1	0		2	100	
3004	祝福石	3			2	30020001	1	0		2	10	
3005	幸运石	3			2	30020002	1	0		2	100	
3006	灵魂石	3			2	30020003	1	0		2	1000	
3007	低级饲料	3			2	30030001	1	0		2	10	
3008	中级饲料	3			2	30030002	1	0		2	50	
3009	高级饲料	3			2	30030003	1	0		2	200	
3010	魔铁	3	1|2|3		2	50010101	100	0		2	100	
3011	坚铜	3	4|5|6		2	50010102	100	0		2	100	
3012	清银	3	7|8|9		2	50010103	100	0		2	100	
3013	秘银	3	10|11|12		2	50010104	100	0		2	100	
3014	精金	3	13|14|15		2	50010105	100	0		2	100	
3015	毛发	3	1|2|3		2	50010201	100	0		2	100	
3016	呢绒	3	4|5|6		2	50010202	100	0		2	100	
3017	纤维布	3	7|8|9		2	50010203	100	0		2	100	
3018	巨龙革	3	10|11|12		2	50010204	100	0		2	100	
3019	星鹃布	3	13|14|15		2	50010205	100	0		2	100	
3020	羽毛	3	1|2|3		2	50010301	100	0		2	100	
3021	兽角	3	4|5|6		2	50010302	100	0		2	100	
3022	硬壳	3	7|8|9		2	50010303	100	0		2	100	
3023	利齿	3	10|11|12		2	50010304	100	0		2	100	
3024	珍宝	3	13|14|15		2	50010305	100	0		2	100	
3025	腐液	3	1|2|3		2	50010401	100	0		2	100	
3026	头骨	3	4|5|6		2	50010402	100	0		2	100	
3027	龙角	3	7|8|9		2	50010403	100	0		2	100	
3028	图腾	3	10|11|12		2	50010404	100	0		2	100	
3029	神元	3	13|14|15		2	50010405	100	0		2	100	
3030	技能精华	3			2	60010001	1	0		2	100	
