id	名字	名字代号	描述	描述代号	描述	描述代号	图标	行为	打击特效	打击段数	类型	技能类型 1普攻 2技能	释放类型 1普通 2连接 3怒气中连接	释放按钮	释放参数		能量	吟唱	前摇	释放时间	cd时间	目标 1对方 2己方	伤害类型 0无伤害 1攻击百分比 2反击专用 3蓄力斩专用 4末日弧光	参数1	参数1增量	参数2	参数2增量	击退等级	buff目标 0无buff 1对方 2己方	buffid	bufftime	buff目标 0无buff 1对方 2对方全体 3己方 4己方全体	buffid	bufftime	解锁等级
INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING		INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
*id		#name		#desc		#desc1	icon	action	effect	section_num	type	spell_type	release_type	release_button	release_param		sp	sing_time	pre_time	release_time	cold_time	target	dmg_type	dmg_param1	dmg_param1_add	dmg_param2	dmg_param2_add	jt	buff.0.target	buff.0.id	buff.0.time	buff.1.target	buff.1.id	buff.1.time	unlock_level
101	刀普攻							attack	hit01	1	999	1	1						500	1800		1	1	1000	100			1							
102	元素普攻							attack	hit02	1	999	1	1						500	1800		1	1	1000	100			1							
103	能量普攻							attack	hit03	1	999	1	1						500	1800		1	1	1000	100			1							
104	刺客普攻							attack	hit04	1	999	1	1						500	1800		1	1	1000	100			1							
105	动物普攻							attack	hit05	1	999	1	1						500	1800		1	1	1000	100			1							
9901	普攻格挡成功小							gedangcg			999	1	1				5		0	500		2	0												
9902	技能格挡成功大							gedangcg			999	1	1				20		0	500		2	0												
9903	普攻格挡成功小							gedangcg			999	1	1				5		0	500		2	0												
9904	技能格挡成功大							gedangcg			999	1	1				20		0	500		2	0												
9999	逃跑	t_spell_name_9999									999	1	1						0	0		2	0												
1001	斩击	t_spell_name_1001	基础的斩击招式	t_spell_desc_1001	对敌方造成{N11}%攻击的伤害	t_spell_desc1_1001	1001	attack01		1	1	1	1	1			5		500	500		1	1	800	80										0
1002	横劈	t_spell_name_1002	横向斩击，衔接于<color=#fdc83a>斩击</color>后	t_spell_desc_1002	对敌方造成{N11}%攻击的伤害	t_spell_desc1_1002	1002	attack02		1	1	1	2	1	1001		5		500	500		1	1	900	90										1
1003	上挑	t_spell_name_1003	双手向上挑击，衔接于<color=#fdc83a>横劈</color>后	t_spell_desc_1003	对敌方造成{N11}%攻击的伤害	t_spell_desc1_1003	1003	attack03		1	1	1	2	1	1002		10		500	500		1	1	1000	100										10
1004	重击	t_spell_name_1004	用力向下重砍，衔接于<color=#fdc83a>上挑</color>后	t_spell_desc_1004	对敌方造成{N11}%攻击的伤害	t_spell_desc1_1004	1004	attack04		1	1	1	2	1	1003		10		500	800		1	1	1200	120										20
1005	反击斩	t_spell_name_1005	精准格挡后的反击，衔接于<color=#fdc83a>武器防御</color>后	t_spell_desc_1005	对敌方造成{N11}%攻击的伤害，必定暴击	t_spell_desc1_1005	1005	gedang_fan		1	1	2	2	3	9904|9902		5		500	500		1	2	3000	300										15
1006	反击重斩	t_spell_name_1006	反击后的重斩，衔接于<color=#fdc83a>反击斩</color>后	t_spell_desc_1006	对敌方造成{N11}%攻击的伤害，必定暴击，提高自身{N211}%的爆伤，持续{T}秒	t_spell_desc1_1006	1006	attack04		1	1	2	2	3	1005		10		500	800	20000	1	2	5000	500				2	100601	10000				45
1007	切割	t_spell_name_1007	横向切割敌人，衔接于<color=#fdc83a>斩击</color>后	t_spell_desc_1007	对敌方造成{N11}%攻击的伤害	t_spell_desc1_1007	1007	attack02		1	1	2	2	2	1001		20		500	500		1	1	2000	200										5
