id	名字	名字代号	描述	描述代号	图标	颜色	职业	基础 0非基础 1基础	替换技能	类型1 1修改属性 2每获得N点怒气回复M%生命 3不死亡回复N%生命 4技能附加敌方当前生命N%的伤害，不超过攻击的M% 5对生命少于N%的目标提高M%的属性 6爆气状态提高N%属性 7普攻减少对方N点怒气 8前N秒无敌 9每次被攻击最多损失N%生命 10免疫超过{N11}%生命的伤害 11{N11}秒后狂暴，增加{N12}%的属性 12每次攻击回复N%点怒气	参数11	参数12	参数13	类型2	参数21	参数22	参数23	解锁参数1	解锁参数1	解锁参数2	解锁参数2
INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
*id		#name		#desc	icon	color	class	basic	next_spell	effect.0.type	effect.0.param1	effect.0.param2	effect.0.param3	effect.1.type	effect.1.param1	effect.1.param2	effect.1.param3	unlock.0.param1	unlock.0.param2	unlock.1.param1	unlock.1.param2
11001	磐石I	t_spell_passive_name_11001	提高{N12}%的减伤	t_spell_passive_desc_11001	11001	2	1	1	12001	1	36	60						2007	30		
11002	强攻I	t_spell_passive_name_11002	爆气状态下，提高{N12}%的增伤	t_spell_passive_desc_11002	11002	2	1	1	12002	6	35	100						2008	30		
11003	抵抗I	t_spell_passive_name_11003	{N12}%的概率免疫控制效果	t_spell_passive_desc_11003	11003	2	1	1	12003	1	81	150						2003	30		
11004	无情I	t_spell_passive_name_11004	对生命少于{N13}%的目标提高{N12}%的增伤	t_spell_passive_desc_11004	11004	2	1	1	12004	5	35	200	30					2002	30		
11005	吸血I	t_spell_passive_name_11005	每获得{N11}点怒气，回复{N12}%的生命	t_spell_passive_desc_11005	11005	2	1	1	12005	2	4	1						2008	30		
11006	不懈I	t_spell_passive_name_11006	生命低于{N13}%时，提高{N12}%的减伤	t_spell_passive_desc_11006	11006	2	1	1	12006	1	36	100	35					2005	30		
11007	荆棘I	t_spell_passive_name_11007	提高{N12}%的攻击反弹，每次攻击回复{N21}点怒气	t_spell_passive_desc_11007	11007	2	1	1	12007	1	74	50		12	1			2001	30		
11008	护盾I	t_spell_passive_name_11008	提高{N12}%的防御，提高{N22}%回复	t_spell_passive_desc_11008	11008	2	1	1	12008	1	37	100		1	77	5		2003	30		
11009	战神I	t_spell_passive_name_11009	受到致命伤害，不会死亡，生命回复至{N11}%，只会触发一次	t_spell_passive_desc_11009	11009	2	1	1	12009	3	15							2010	30		
