地图	钥匙	十连	钻石	十连	drop	类型	权重	drop	类型	权重	drop	类型	权重	抽取装备等级
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
*map	item	item10	jewel	jewel10	drop.0.id	drop.0.type	drop.0.weight	drop.1.id	drop.1.type	drop.1.weight	drop.2.id	drop.2.type	drop.2.weight	wear_level
1	1	10	20	180	12001	1	6500	13001	1	3000	14001	2	500	1
2	2	20	40	360	12002	1	6500	13002	1	3000	14002	2	500	10
3	3	30	60	540	12003	1	6500	13003	1	3000	14003	2	500	20
4	4	40	80	720	12004	1	6500	13004	1	3000	14004	2	500	30
5	5	50	100	900	12005	1	6500	13005	1	3000	14005	2	500	40
6	5	50	100	900	12006	1	6500	13006	1	3000	14006	2	500	50
7	6	60	120	1080	12007	1	6500	13007	1	3000	14007	2	500	60
8	6	60	120	1080	12008	1	6500	13008	1	3000	14008	2	500	70
9	7	70	140	1260	12009	1	6500	13009	1	3000	14009	2	500	80
10	7	70	140	1260	12010	1	6500	13010	1	3000	14010	2	500	90
11	8	80	160	1440	12011	1	6500	13011	1	3000	14011	2	500	100
12	8	80	160	1440	12012	1	6500	13012	1	3000	14012	2	500	110
13	9	90	180	1620	12013	1	6500	13013	1	3000	14013	2	500	120
14	9	90	180	1620	12014	1	6500	13014	1	3000	14014	2	500	130
15	10	100	200	1800	12015	1	6500	13015	1	3000	14015	2	500	140
