等级	经验	宠物好感	标准经验	标准金币	单位标准战力	百分比类标准	技能类标准
INT	INT	INT	INT	INT	INT	INT	INT
*level	exp	pet_exp	std_exp	std_gold	std_attr	std_per	std_spell
1	0	0	5	6	20	10	1
2	25	4	5	6	20	10	1
3	40	7	5	6	21	10	1
4	72	10	6	6	22	10	1
5	96	13	6	7	23	10	1
6	140	16	7	7	24	10	1
7	192	18	8	8	24	10	1
8	240	22	8	8	25	10	1
9	324	25	9	8	26	10	1
10	420	28	10	9	27	10	1
11	800	33	16	9	28	20	1
12	960	38	16	10	29	20	1
13	1190	43	17	10	30	20	1
14	1440	48	18	10	31	20	1
15	1710	52	19	11	32	20	1
16	2000	57	20	11	33	20	1
17	2520	66	21	11	34	20	1
18	3080	75	22	12	35	20	1
19	3680	84	23	12	36	20	1
20	4320	92	24	12	38	20	1
21	7400	100	37	13	39	30	1
22	8360	107	38	13	40	30	1
23	9120	114	38	13	42	30	1
24	10140	120	39	14	43	30	1
25	11200	127	40	14	45	30	1
26	12300	133	41	14	47	30	1
27	13440	139	42	15	48	30	1
28	14280	144	42	15	50	30	1
29	15480	150	43	15	51	30	1
30	16720	155	44	16	53	30	1
31	33500	200	67	16	54	40	2
32	37400	215	68	16	57	40	2
33	41400	230	69	16	59	40	2
34	46150	245	71	16	61	40	2
35	50400	259	72	16	63	40	2
36	55500	272	74	17	65	40	2
37	60000	285	75	17	68	40	2
38	65450	298	77	17	70	40	2
39	70200	310	78	17	72	40	2
40	76000	322	80	17	74	40	2
41	120000	333	120	18	76	50	2
42	134200	360	122	18	79	50	2
43	150000	387	125	18	82	50	2
44	165100	412	127	18	86	50	2
45	182000	437	130	18	89	50	2
46	198000	461	132	18	92	50	2
47	216000	484	135	19	95	50	2
48	234600	507	138	19	98	50	2
49	252000	529	140	19	101	50	2
50	271700	550	143	19	104	50	2
51	442200	628	201	19	107	60	2
52	492000	676	205	20	111	60	2
53	543400	722	209	20	116	60	2
54	596400	767	213	20	120	60	2
55	651000	810	217	20	124	60	2
56	710400	853	222	20	129	60	2
57	768400	894	226	20	133	60	2
58	831600	935	231	21	137	60	2
59	893000	974	235	21	141	60	2
60	960000	1012	240	21	146	60	2
61	1680000	1250	336	21	150	70	3
62	1749300	1259	343	21	156	70	3
63	1820000	1268	350	21	162	70	3
64	1892100	1277	357	21	168	70	3
65	1965600	1285	364	22	174	70	3
66	2040500	1294	371	22	180	70	3
67	2122400	1302	379	22	186	70	3
68	2200200	1310	386	22	192	70	3
69	2285200	1318	394	22	198	70	3
70	2371800	1325	402	22	204	70	3
71	3654000	1555	522	22	210	80	3
72	3748800	1560	528	22	219	80	3
73	3837600	1565	533	22	227	80	3
74	3927400	1569	538	22	236	80	3
75	4025600	1574	544	23	244	80	3
76	4117500	1578	549	23	252	80	3
77	4218000	1583	555	23	261	80	3
78	4312000	1587	560	23	269	80	3
79	4414800	1591	566	23	278	80	3
80	4510900	1595	571	23	286	80	3
81	6687000	1800	743	23	295	90	3
82	6825000	1801	750	23	306	90	3
83	6973600	1803	758	23	318	90	3
84	7114500	1805	765	23	330	90	3
85	7266200	1807	773	23	342	90	3
86	7419500	1809	781	24	354	90	3
87	7574400	1811	789	24	365	90	3
88	7730900	1813	797	24	377	90	3
89	7879200	1814	804	24	389	90	3
90	8048700	1816	813	24	401	90	3
91	11721600	2018	1056	24	413	100	4
92	11950400	2018	1067	24	429	100	4
93	12181400	2017	1078	24	446	100	4
94	12403200	2017	1088	24	462	100	4
95	12638500	2017	1099	24	479	100	4
96	12876000	2017	1110	24	495	100	4
97	13115700	2017	1121	25	512	100	4
98	13369400	2017	1133	25	528	100	4
99	13613600	2016	1144	25	545	100	4
100	13860000	2016	1155	25	561	100	4
101	18169700	2183	1387	25	578	110	4
102	18400800	2181	1394	25	601	110	4
103	18633300	2180	1401	25	624	110	4
104	18867200	2178	1408	25	647	110	4
105	19102500	2177	1415	25	671	110	4
106	19339200	2176	1422	25	694	110	4
107	19577300	2174	1429	25	717	110	4
108	19816800	2173	1436	25	740	110	4
109	20057700	2171	1443	25	763	110	4
110	20300000	2170	1450	25	786	110	4
111	27856000	2461	1741	26	809	120	4
112	28158900	2458	1749	26	842	120	4
113	28479600	2454	1758	26	874	120	4
114	28802100	2451	1767	26	907	120	4
115	29126400	2447	1776	26	939	120	4
116	29452500	2444	1785	26	971	120	4
117	29763800	2441	1793	26	1004	120	4
118	30093400	2437	1802	26	1036	120	4
119	30424800	2434	1811	26	1069	120	4
120	30758000	2431	1820	26	1101	120	4
121	39548500	2585	2185	26	1133	130	5
122	39967200	2581	2196	26	1179	130	5
123	40388100	2577	2207	26	1224	130	5
124	40811200	2573	2218	26	1269	130	5
125	41236500	2569	2229	26	1315	130	5
126	41664000	2565	2240	26	1360	130	5
127	42093700	2561	2251	26	1406	130	5
128	42525600	2557	2262	26	1451	130	5
129	42978600	2554	2274	27	1496	130	5
130	43415000	2550	2285	27	1542	130	5
131	57856200	2813	2742	27	1587	140	5
132	58427200	2807	2756	27	1650	140	5
133	59001000	2802	2770	27	1714	140	5
134	59556200	2797	2783	27	1777	140	5
135	60135500	2792	2797	27	1841	140	5
136	60717600	2787	2811	27	1904	140	5
137	61302500	2782	2825	27	1968	140	5
138	61912000	2777	2840	27	2031	140	5
