id	角色id	等级	生命	攻击	防御	被动	技能等级	每轮技能间隔	技能顺序间隔	技能顺序	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔
INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
*id	role_id	level	attrs.0.value	attrs.1.value	attrs.2.value	passive	spell_level	spell_round_interval	spell_release.0.interval	spell_release.0.id	spell_release.1.interval	spell_release.1.id	spell_release.2.interval	spell_release.2.id	spell_release.3.interval	spell_release.3.id	spell_release.4.interval	spell_release.4.id	spell_release.5.interval	spell_release.5.id	spell_release.6.interval	spell_release.6.id	spell_release.7.interval	spell_release.7.id	spell_release.8.interval	spell_release.8.id	spell_release.9.interval	spell_release.9.id	spell_release.10.interval	spell_release.10.id
1001	1001	1	4	2	2		1	0	3000	1	3000	2001	3000	1	3000	1	2000	2001	4000	2001										
1002	1002	2	4	2	2		1	0	2000	1	2000	2002	2000	1	2000	1	2000	2002	3000	1										
1003	1003	3	6	3	3		1	0	4000	1	2000	2003	4500	1	3500	1	3000	2003	3000	2003										
1004	1004	4	6	3	3		1	0	1500	1	1500	1	1500	1	3000	2004	4500	1	6000	2004										
1005	1005	5	6	4	4		1	0	1500	1	1500	2005	2500	1	2500	1	3500	1	3500	1	4500	2005	4500	1						
1006	1006	6	6	4	4		1	0	4000	1	4000	2003	4000	1	1500	2003	3000	1	1500	2003										
1007	1007	7	5	5	5		1	0	4000	2007	2000	1	5000	2007	1000	1	3000	1	4500	2007	1500	2007	3000	1						
1008	1008	8	5	5	5		1	0	1000	1	4000	2008	1000	1	1000	1	1000	1	1500	1	2500	1	8000	2008						
1009	1009	9	6	5	5		1	0	1500	1	1500	1	1500	2009	2000	1	1500	2009	2000	2009	3000	1	8000	2009						
1010	1010	10	6	6	6		1	0	4000	1	2000	2010	4000	1	4000	1	6000	1	1000	1	1000	2010	1500	2010						
2001	2001	11	3	3	3		2	0	3000	1	4000	1	4000	2011	2000	1	2000	1	3000	2011	4000	2011	2000	1						
2002	2002	12	3	3	3		2	0	2000	1	2000	1	2000	1	6000	2012	2500	1	2500	1	2500	1	4500	2012						
2003	2003	13	4	4	4		2	0	1000	1	3000	1	4000	1	1500	2013	4000	1	2500	2013	4000	1	4000	2013						
2004	2004	14	4	4	4		2	0	4000	1	5000	1	6000	1	2000	2014	3000	1	1000	2014	2000	1	1000	2014						
2005	2005	15	5	5	5		2	0	4000	1	3000	2015	3000	1	3000	2015	2000	1	2000	1	2000	1	5000	2015						
2006	2006	16	5	5	5		2	0	2000	1	4000	2016	2000	1	2000	1	2000	1	2000	1	7000	2016	3000	2016						
2007	2007	17	5.5	5.5	5.5		2	0	2500	1	3500	2017	4000	1	3500	2017	3000	1	2000	1	1000	1	6000	2017						
2008	2008	18	5.5	5.5	5.5		2	0	2000	1	4000	2018	4000	1	1000	1	1000	1	6000	2018	1500	1	5500	2018						
2009	2009	19	6	6	6		2	0	3000	2019	4000	1	5000	1	2000	2019	3000	1	4000	2019	1000	1	2000	2019						
2010	2010	20	6	6	6		2	0	1000	1	2000	1	3000	1	4000	1	5000	2020	4000	2020	3000	1	2000	2010						
3001	3001	21	5	5	5		3	0	3000	1	3000	2001	3000	1	3000	1	2000	2001	4000	2001										
3002	3002	22	5.5	5	5		3	0	2000	1	2000	2002	2000	1	2000	1	2000	2002	3000	1										
3003	3003	23	5.5	5.5	5.5		3	0	4000	1	2000	2003	4500	1	3500	1	3000	2003	3000	2003										
3004	3004	24	6.05	5.5	5.5		3	0	1500	1	1500	1	1500	1	3000	2004	4500	1	6000	2004										
3005	3005	25	6	6	6		3	0	1500	1	1500	2005	2500	1	2500	1	3500	1	3500	1	4500	2005	4500	1						
3006	3006	26	6.18	6	6		3	0	4000	1	4000	2003	4000	1	1500	2003	3000	1	1500	2003										
3007	3007	27	6.48	6	6		3	0	4000	2007	2000	1	5000	2007	1000	1	3000	1	4500	2007	1500	2007	3000	1						
3008	3008	28	6.6	6	6		3	0	1000	1	4000	2008	1000	1	1000	1	1000	1	1500	1	2500	1	8000	2008						
3009	3009	29	6.6	6	6.6		3	0	1500	1	1500	1	1500	2009	2000	1	1500	2009	2000	2009	3000	1	8000	2009						
3010	3010	30	6.6	6.6	6.6		3	0	4000	1	2000	2010	4000	1	4000	1	6000	1	1000	1	1000	2010	1500	2010						
4001	4001	31	10	10	10		4	0	3000	1	4000	1	4000	2011	2000	1	2000	1	3000	2011	4000	2011	2000	1						
4002	4002	32	10	10	10		4	0	2000	1	2000	1	2000	1	6000	2012	2500	1	2500	1	2500	1	4500	2012						
4003	4003	33	10	10	10		4	0	1000	1	3000	1	4000	1	1500	2013	4000	1	2500	2013	4000	1	4000	2013						
4004	4004	34	10	10	10		4	0	4000	1	5000	1	6000	1	2000	2014	3000	1	1000	2014	2000	1	1000	2014						
4005	4005	35	10	10	10		4	0	4000	1	3000	2015	3000	1	3000	2015	2000	1	2000	1	2000	1	5000	2015						
4006	4006	36	10	10	10		4	0	2000	1	4000	2016	2000	1	2000	1	2000	1	2000	1	7000	2016	3000	2016						
