层数	怪	type1	value1	value2	value3	prob	type2	value1	value2	value3	prob	type3	value1	value2	value3	prob	首次type1	value1	value2	value3	prob	首次type1	value1	value2	value3	prob	首次type2	value1	value2	value3	prob	type3	value1	value2	value3	prob
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
*stair	monster	reward.0.type	reward.0.value1	reward.0.value2	reward.0.value3	reward.0.prob	reward.1.type	reward.1.value1	reward.1.value2	reward.1.value3	reward.1.prob	reward.2.type	reward.2.value1	reward.2.value2	reward.2.value3	reward.2.prob	freward.0.type	freward.0.value1	freward.0.value2	freward.0.value3	freward.0.prob	freward.1.type	freward.1.value1	freward.1.value2	freward.1.value3	freward.1.prob	freward.2.type	freward.2.value1	freward.2.value2	freward.2.value3	freward.2.prob					
1	1001	1	1	1	0	100	1	1	1	0	80																									
2	1002	1	1	1	0	100	1	1	1	0	80																									
3	1003	1	1	1	0	100	1	1	1	0	80																									
4	1004	1	1	1	0	100	1	1	1	0	80																									
5	1005	1	1	1	0	100	1	1	1	0	80																									
6	1006	1	1	1	0	100	1	1	1	0	80																									
7	1007	1	1	1	0	100	1	1	1	0	80																									
8	1008	1	1	1	0	100	1	1	1	0	80																									
9	1009	1	1	1	0	100	1	1	1	0	80																									
10	1010	1	1	1	0	100	1	1	1	0	80																									
11	1101	1	1	1	0	100	1	1	1	0	80																									
12	1102	1	1	1	0	100	1	1	1	0	80																									
13	1103	1	1	1	0	100	1	1	1	0	80																									
14	1104	1	1	1	0	100	1	1	1	0	80																									
15	1105	1	1	1	0	100	1	1	1	0	80																									
16	1106	1	1	1	0	100	1	1	1	0	80																									
17	1107	1	1	1	0	100	1	1	1	0	80																									
18	1108	1	1	1	0	100	1	1	1	0	80																									
19	1109	1	1	1	0	100	1	1	1	0	80																									
20	1110	1	1	1	0	100	1	1	1	0	80																									
21	1001	1	1	1	0	100	1	1	1	0	80																									
22	1002	1	1	1	0	100	1	1	1	0	80																									
23	1003	1	1	1	0	100	1	1	1	0	80																									
24	1004	1	1	1	0	100	1	1	1	0	80																									
25	1005	1	1	1	0	100	1	1	1	0	80																									
26	1006	1	1	1	0	100	1	1	1	0	80																									
27	1007	1	1	1	0	100	1	1	1	0	80																									
28	1008	1	1	1	0	100	1	1	1	0	80																									
29	1009	1	1	1	0	100	1	1	1	0	80																									
30	1010	1	1	1	0	100	1	1	1	0	80																									
31	1101	1	1	1	0	100	1	1	1	0	80																									
32	1102	1	1	1	0	100	1	1	1	0	80																									
33	1103	1	1	1	0	100	1	1	1	0	80																									
34	1104	1	1	1	0	100	1	1	1	0	80																									
35	1105	1	1	1	0	100	1	1	1	0	80																									
36	1106	1	1	1	0	100	1	1	1	0	80																									
37	1107	1	1	1	0	100	1	1	1	0	80																									
38	1108	1	1	1	0	100	1	1	1	0	80																									
39	1109	1	1	1	0	100	1	1	1	0	80																									
40	1110	1	1	1	0	100	1	1	1	0	80																									
41	1001	1	1	1	0	100	1	1	1	0	80																									
42	1002	1	1	1	0	100	1	1	1	0	80																									
43	1003	1	1	1	0	100	1	1	1	0	80																									
44	1004	1	1	1	0	100	1	1	1	0	80																									
45	1005	1	1	1	0	100	1	1	1	0	80																									
46	1006	1	1	1	0	100	1	1	1	0	80																									
47	1007	1	1	1	0	100	1	1	1	0	80																									
48	1008	1	1	1	0	100	1	1	1	0	80																									
49	1009	1	1	1	0	100	1	1	1	0	80																									
50	1010	1	1	1	0	100	1	1	1	0	80																									
51	1101	1	1	1	0	100	1	1	1	0	80																									
52	1102	1	1	1	0	100	1	1	1	0	80																									
53	1103	1	1	1	0	100	1	1	1	0	80																									
54	1104	1	1	1	0	100	1	1	1	0	80																									
55	1105	1	1	1	0	100	1	1	1	0	80																									
56	1106	1	1	1	0	100	1	1	1	0	80																									
57	1107	1	1	1	0	100	1	1	1	0	80																									
58	1108	1	1	1	0	100	1	1	1	0	80																									
59	1109	1	1	1	0	100	1	1	1	0	80																									
60	1110	1	1	1	0	100	1	1	1	0	80																									
61	1001	1	1	1	0	100	1	1	1	0	80																									
62	1002	1	1	1	0	100	1	1	1	0	80																									
63	1003	1	1	1	0	100	1	1	1	0	80																									
64	1004	1	1	1	0	100	1	1	1	0	80																									
65	1005	1	1	1	0	100	1	1	1	0	80																									
66	1006	1	1	1	0	100	1	1	1	0	80																									
67	1007	1	1	1	0	100	1	1	1	0	80																									
68	1008	1	1	1	0	100	1	1	1	0	80																									
69	1009	1	1	1	0	100	1	1	1	0	80																									
70	1010	1	1	1	0	100	1	1	1	0	80																									
71	1101	1	1	1	0	100	1	1	1	0	80																									
72	1102	1	1	1	0	100	1	1	1	0	80																									
73	1103	1	1	1	0	100	1	1	1	0	80																									
74	1104	1	1	1	0	100	1	1	1	0	80																									
75	1105	1	1	1	0	100	1	1	1	0	80																									
76	1106	1	1	1	0	100	1	1	1	0	80																									
77	1107	1	1	1	0	100	1	1	1	0	80																									
78	1108	1	1	1	0	100	1	1	1	0	80																									
79	1109	1	1	1	0	100	1	1	1	0	80																									
80	1110	1	1	1	0	100	1	1	1	0	80																									
81	1001	1	1	1	0	100	1	1	1	0	80																									
82	1002	1	1	1	0	100	1	1	1	0	80																									
83	1003	1	1	1	0	100	1	1	1	0	80																									
84	1004	1	1	1	0	100	1	1	1	0	80																									
85	1005	1	1	1	0	100	1	1	1	0	80																									
86	1006	1	1	1	0	100	1	1	1	0	80																									
87	1007	1	1	1	0	100	1	1	1	0	80																									
88	1008	1	1	1	0	100	1	1	1	0	80																									
89	1009	1	1	1	0	100	1	1	1	0	80																									
90	1010	1	1	1	0	100	1	1	1	0	80																									
91	1101	1	1	1	0	100	1	1	1	0	80																									
92	1102	1	1	1	0	100	1	1	1	0	80																									
93	1103	1	1	1	0	100	1	1	1	0	80																									
94	1104	1	1	1	0	100	1	1	1	0	80																									
95	1105	1	1	1	0	100	1	1	1	0	80																									
96	1106	1	1	1	0	100	1	1	1	0	80																									
97	1107	1	1	1	0	100	1	1	1	0	80																									
98	1108	1	1	1	0	100	1	1	1	0	80																									
99	1109	1	1	1	0	100	1	1	1	0	80																									
100	1110	1	1	1	0	100	1	1	1	0	80																									
101	1001	1	1	1	0	100	1	1	1	0	80																									
102	1002	1	1	1	0	100	1	1	1	0	80																									
103	1003	1	1	1	0	100	1	1	1	0	80																									
104	1004	1	1	1	0	100	1	1	1	0	80																									
105	1005	1	1	1	0	100	1	1	1	0	80																									
106	1006	1	1	1	0	100	1	1	1	0	80																									
107	1007	1	1	1	0	100	1	1	1	0	80																									
108	1008	1	1	1	0	100	1	1	1	0	80																									
109	1009	1	1	1	0	100	1	1	1	0	80																									
110	1010	1	1	1	0	100	1	1	1	0	80																									
111	1101	1	1	1	0	100	1	1	1	0	80																									
112	1102	1	1	1	0	100	1	1	1	0	80																									
113	1103	1	1	1	0	100	1	1	1	0	80																									
