id	NAME	代号	desc	代号	所属地图	颜色	icon	属性1	数值1	属性2	数值2	属性3	数值3	属性4	数值4	获得途径	声望1	声望2
INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
*id		#name		#desc	map	color	icon	attrs.0.id	attrs.0.value	attrs.1.id	attrs.1.value	attrs.2.id	attrs.2.value	attrs.3.id	attrs.3.value	get	unlock_reputation	has_reputation
3001	暗暮破晓	t_artifact_name_3001	柔和的暗光流转，挥动时散发流光	t_artifact_desc_3001	3	2	3001	1	1	1	1	1	1	1	1	4	20	20
3002	碎星者	t_artifact_name_3002	连恒星都能粉碎的流行锤	t_artifact_desc_3002	3	2	3002	1	1	1	1	1	1	1	1	4	20	20
3003	风魔手里剑	t_artifact_name_3003	可直接进行打击也可用来投掷的特殊武器。会使被击中的敌人陷入疯狂	t_artifact_desc_3003	3	2	3003	1	1	1	1	1	1	1	1	4	20	20
3004	隐身布	t_artifact_name_3004	这块布蒙上或者圈起来的事物，无法用任务方法予以观测	t_artifact_desc_3004	3	2	3004	1	1	1	1	1	1	1	1	4	20	20
3005	冥界之斧	t_artifact_name_3005	用来击杀逃离冥界之人的行刑道具	t_artifact_desc_3005	3	2	3005	1	1	1	1	1	1	1	1	4	20	20
3006	吸血之镰	t_artifact_name_3006	代表着死亡的镰刀，轻而易举便可夺取生命	t_artifact_desc_3006	3	2	3006	1	1	1	1	1	1	1	1	4	20	20
3007	月神长弓	t_artifact_name_3007	月亮女神阿尔忒弥斯所用的弓箭	t_artifact_desc_3007	3	2	3007	1	1	1	1	1	1	1	1	4	20	20
3008	荆棘皇冠	t_artifact_name_3008	长满尖刺的荆棘编成圈状冠	t_artifact_desc_3008	3	2	3008	1	1	1	1	1	1	1	1	4	20	20
3009	女神的怒焰	t_artifact_name_3009	即使是神，也依然会释放出滔天怒火	t_artifact_desc_3009	3	3	3009	1	1	1	1	1	1	1	1	4	20	20
3010	福玻斯刺骨狼牙	t_artifact_name_3010	划过皮肤就会被冻结的死亡狼牙	t_artifact_desc_3010	3	3	3010	1	1	1	1	1	1	1	1	4	20	20
3101	真理之书	t_artifact_name_3101	记录着真理，世间一切都逃不过它的记录	t_artifact_desc_3101	3	3	3101	1	1	1	1	1	1	1	1	4	20	20
3102	无限手套	t_artifact_name_3102	能完美融合所有无限宝石的力量	t_artifact_desc_3102	3	3	3102	1	1	1	1	1	1	1	1	4	20	20
3103	辛西亚的魔镜	t_artifact_name_3103	能照射处人心处最黑暗的一幕	t_artifact_desc_3103	3	4	3103	1	1	1	1	1	1	1	1	4	40	40
3104	永恒之镜	t_artifact_name_3104	永恒存在的镜子，照射处心底的纯净	t_artifact_desc_3104	3	4	3104	1	1	1	1	1	1	1	1	4	40	40
3105	燧石巨棒	t_artifact_name_3105	巨人的武器，一根燧石打造的武器	t_artifact_desc_3105	3	5	3105	1	1	1	1	1	1	1	1	4	80	80
4001	亚特兰蒂斯圣环	t_artifact_name_4001	亚特兰蒂斯留下来的文明遗物	t_artifact_desc_4001	4	2	4001	1	1	1	1	1	1	1	1	4	20	20
4002	阿伽门农面具	t_artifact_name_4002	阿伽门农家族的面具，战争之神曾经佩戴过的面具	t_artifact_desc_4002	4	2	4002	1	1	1	1	1	1	1	1	4	20	20
4003	格因手镯	t_artifact_name_4003	仿照格因吞噬世界树的样子锻造的手镯	t_artifact_desc_4003	4	2	4003	1	1	1	1	1	1	1	1	4	20	20
4004	布里希嘉曼项链	t_artifact_name_4004	是一串耀眼无比，华丽绝伦的项链	t_artifact_desc_4004	4	2	4004	1	1	1	1	1	1	1	1	4	20	20
4005	赫拉的魔法球	t_artifact_name_4005	法神在他的里面存储了无限的魔力	t_artifact_desc_4005	4	2	4005	1	1	1	1	1	1	1	1	4	20	20
4006	拉戈尔	t_artifact_name_4006	正义之神的盾	t_artifact_desc_4006	4	2	4006	1	1	1	1	1	1	1	1	4	20	20
4007	烘炉天锤	t_artifact_name_4007	打造出无数把神器的一把锻造锤子	t_artifact_desc_4007	4	2	4007	1	1	1	1	1	1	1	1	4	20	20
4008	银之钥	t_artifact_name_4008	能够打开异世界的大门的钥匙	t_artifact_desc_4008	4	2	4008	1	1	1	1	1	1	1	1	4	20	20
4009	黑羽披肩	t_artifact_name_4009	传闻魔神穿着它在地狱里大开杀戒	t_artifact_desc_4009	4	3	4009	1	1	1	1	1	1	1	1	4	20	20
4010	启示录	t_artifact_name_4010	记载对世界末日的预言	t_artifact_desc_4010	4	3	4010	1	1	1	1	1	1	1	1	4	20	20
4101	杜兰德尔	t_artifact_name_4101	它是世界上最锋利的剑	t_artifact_desc_4101	4	3	4101	1	1	1	1	1	1	1	1	4	20	20
4102	罗兰的号角	t_artifact_name_4102	从未吹响过的杀戮号角	t_artifact_desc_4102	4	3	4102	1	1	1	1	1	1	1	1	4	20	20
4103	赫尔莫德的翅膀	t_artifact_name_4103	善于飞行的赫尔莫德飞行快速的秘诀	t_artifact_desc_4103	4	4	4103	1	1	1	1	1	1	1	1	4	40	40
4104	黄金之箭	t_artifact_name_4104	一柄含有剧毒的可怕弓箭	t_artifact_desc_4104	4	4	4104	1	1	1	1	1	1	1	1	4	40	40
4105	诸王的王座	t_artifact_name_4105	至远古以来就被诸王争夺的王座	t_artifact_desc_4105	4	5	4105	1	1	1	1	1	1	1	1	4	80	80
5001	监督者手环	t_artifact_name_5001	代表着监视世间的神的权利的手环	t_artifact_desc_5001	5	2	5001	1	1	1	1	1	1	1	1	4	20	20
5002	银槲之剑	t_artifact_name_5002	由生长在神国边缘地区的一种小槲寄生树的树枝变化而成，预示着毁灭	t_artifact_desc_5002	5	2	5002	1	1	1	1	1	1	1	1	4	20	20
5003	朗基努斯之枪	t_artifact_name_5003	坚不可摧的暗红色神枪	t_artifact_desc_5003	5	2	5003	1	1	1	1	1	1	1	1	4	20	20
5004	血腥王冠	t_artifact_name_5004	所有与这王冠为敌的人，都死了	t_artifact_desc_5004	5	2	5004	1	1	1	1	1	1	1	1	4	20	20
5005	天使之剑	t_artifact_name_5005	一件极高的神圣兵器，象征着神圣和正义	t_artifact_desc_5005	5	2	5005	1	1	1	1	1	1	1	1	4	20	20
5006	姆乔尔尼尔	t_artifact_name_5006	可以承载魔法咒语和容纳超大能量，也可召唤各种自然元素	t_artifact_desc_5006	5	2	5006	1	1	1	1	1	1	1	1	4	20	20
5007	射杀百头	t_artifact_name_5007	能够一瞬间释放出一百道箭光的神器	t_artifact_desc_5007	5	2	5007	1	1	1	1	1	1	1	1	4	20	20
5008	埃癸斯	t_artifact_name_5008	任何人看到这面盾都会被化石	t_artifact_desc_5008	5	2	5008	1	1	1	1	1	1	1	1	4	20	20
5009	冥王的隐身帽	t_artifact_name_5009	佩戴会隐身的神奇帽子	t_artifact_desc_5009	5	3	5009	1	1	1	1	1	1	1	1	4	20	20
5010	欧罗巴的命运	t_artifact_name_5010	所有佩戴过这枚戒指的人，命运都会指引他们走向同一个地方	t_artifact_desc_5010	5	3	5010	1	1	1	1	1	1	1	1	4	20	20
5101	暗魔的靴子	t_artifact_name_5101	暗魔行走间从不留下很久	t_artifact_desc_5101	5	3	5101	1	1	1	1	1	1	1	1	4	20	20
