id	描述	值
STRING	STRING	INT
*id		value
qiyu_time	遇到奇遇的时间间隔	900000
qiyu_kill_num	奇遇杀怪数量	15
qiyu_mission	奇遇的关卡id	99999
qiyu_rate	奇遇概率	5
max_fight_time	最大战斗时间	300000
min_fight_duration	最小战斗间隔	5000
equip_enchant_price_increase	附魔价格递增	10
equip_enchant_price_crystal	高级附魔水晶价格	50
max_equip_bag	装备背包容量	80
rune_draw_crystal	抽宝石水晶	200
rune_draw_crystal_10	抽宝石十次水晶	1800
rune_draw_item	抽宝石道具	10040001
pet_draw_crystal	抽宠物水晶	100
pet_draw_crystal_10	抽宠物十次水晶	900
pet_draw_item	抽宠物道具	10020001
equip_draw_item	抽装备道具	10030001
free_tower_num	每日免费扫荡次数	3
arena_unlock_level	竞技场解锁等级	10
change_name_jewel	更改昵称需要的水晶	500
arena_rank_num	重置的竞技场次数	10
rank_join_level	服务端排行榜解锁等级	10
equip_attr_min	装备主属性最小比例	50
dubai	新手对话	70101001
die_reduce_exp	死亡扣除经验百分比	10
dungeon_item	副本道具	10010001
dungeon_artifact	神器副本道具	10010002
quest_num	猎杀任务次数	5
spell_item	技能升级道具	60010001
arena_room_player_num	竞技场每个房间玩家数量	15
arena_room_add_npc_time	竞技场每隔多久增加一个npc	60000
arena_room_cd_time	竞技场冷却时间	14400000
arena_room_type	竞技场房间类型	7
arena_npc_power_drift	竞技场NPC战斗力	30
arena_npc_level_drift	竞技场NPC等级	3
