起点	标题	标题	对话	对话	选项1	选项1	选项1执行type	选项1执行参数	选项1执行参数	选项2	选项2	选项2执行type	选项2执行参数	选项2执行参数	选项3	选项3	选项3执行type	选项3执行参数	选项3执行参数	选项4	选项4	选项4	选项4执行type	选项4执行参数	对话头像id
INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT
*id		#title		#dialog		#options.0.name	options.0.type	options.0.param1	options.0.param2		#options.1.name	options.1.type	options.1.param1	options.1.param2		#options.2.name	options.2.type	options.2.param1	options.2.param2		#options.3.name	options.3.type	options.3.param1	options.3.param2	npc_id
10100100	雪莱	t_director_title_10100100	欢迎来到刷子公会，请问你有什么事吗？	t_director_dialog_10100100		t_director_option0_10100100	0	10100101			t_director_option1_10100100					t_director_option2_10100100					t_director_option3_10100100				1
10100101	雪莱	t_director_title_10100101	是要加入刷子公会的呀！你叫什么<color=#fdc83a>名字</color>，我给你登记！	t_director_dialog_10100101	我叫…	t_director_option0_10100101	5	10100102			t_director_option1_10100101					t_director_option2_10100101					t_director_option3_10100101				1
10100102	雪莱	t_director_title_10100102	<color=#fdc83a>{P}</color>，我记下了，想要加入刷子公会很简单啊，只要登记就可以	t_director_dialog_10100102		t_director_option0_10100102	0	10100103			t_director_option1_10100102					t_director_option2_10100102					t_director_option3_10100102				1
10100103	雪莱	t_director_title_10100103	但是如果你想成为真正的刷子，你需要把城外的那些魔兽都消灭掉，以此证明你的实力	t_director_dialog_10100103		t_director_option0_10100103	0	10100104			t_director_option1_10100103					t_director_option2_10100103					t_director_option3_10100103				1
10100104	雪莱	t_director_title_10100104	你去找缇娜小姐领取一把武器，<color=#fdc83a>装备上武器</color>之后去消灭那些魔兽吧	t_director_dialog_10100104	好的	t_director_option0_10100104	1				t_director_option1_10100104					t_director_option2_10100104					t_director_option3_10100104				1
10100200	缇娜	t_director_title_10100200	你好，{P}，雪莱小姐已经吩咐过了，这是你的武器，因为特殊原因，只能给你旧武器了，请你装备上后，在出城呦，城外很危险的	t_director_dialog_10100200	好的	t_director_option0_10100200	1				t_director_option1_10100200					t_director_option2_10100200					t_director_option3_10100200				2
10100300	雪莱	t_director_title_10100300	你竟然真的讨伐掉了他们，{P}，你真让人惊讶	t_director_dialog_10100300		t_director_option0_10100300	0	10100301			t_director_option1_10100300					t_director_option2_10100300					t_director_option3_10100300				1
10100301	雪莱	t_director_title_10100301	每天加入我们的人很多，但能消灭城外魔兽的一个都没有，公会 依然让我每次都发布这样的任务，我以为永远不会有人去完成，毕竟那么危险	t_director_dialog_10100301		t_director_option0_10100301	0	10100302			t_director_option1_10100301					t_director_option2_10100301					t_director_option3_10100301				1
10100302	雪莱	t_director_title_10100302	很高兴你有这样的实力，接下来，我就为你讲解一下，我们刷子公会的目的	t_director_dialog_10100302		t_director_option0_10100302	0	10100303			t_director_option1_10100302					t_director_option2_10100302					t_director_option3_10100302				1
10100303	雪莱	t_director_title_10100303	我们刷子公会是由银月城全力建造，我们的宗旨就是收复更多原本就属于我们的地盘	t_director_dialog_10100303		t_director_option0_10100303	0	10100304			t_director_option1_10100303					t_director_option2_10100303					t_director_option3_10100303				1
10100304	雪莱	t_director_title_10100304	所以，如果你实力达到了，可以前往勇者森林，那里物资充盈，收复那里，对我们人类有很大益处	t_director_dialog_10100304		t_director_option0_10100304	0	10100305			t_director_option1_10100304					t_director_option2_10100304					t_director_option3_10100304				1
10100305	雪莱	t_director_title_10100305	如果你真的能收复更多地盘，回来公会来找我，公会会给你很多奖励的	t_director_dialog_10100305	好的	t_director_option0_10100305	1				t_director_option1_10100305					t_director_option2_10100305					t_director_option3_10100305				1
10200100	雪莱	t_director_title_10200100	我已经收到你把勇者之森收复的消息了	t_director_dialog_10200100		t_director_option0_10200100	0	10200101			t_director_option1_10200100					t_director_option2_10200100					t_director_option3_10200100				1
