id	名字	名字	地图	类型 1主线 2支线 3每日任务	条件 1等级 2前置任务 3前置子任务	条件参数1	条件参数2	NPCid	对话
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
*id		#name	map	type	required	required_param1	required_param2	npc_id	event
10101	主线	t_quest_name_10101		1	1	1		1	10100100
20101	城外的铁匠	t_quest_name_20101		2	1	1		1000	20101100
20102	战斗技巧	t_quest_name_20102		2	1	1		1001	20102100
20201	杂货店的特产	t_quest_name_20201		2	3		10101000	4	20103100
20202	副本中的魔兽	t_quest_name_20202		2	1	1		2001	20202100
20203	装备强化	t_quest_name_20203		2	3		20101004	2002	20201100
20301	刷子日常	t_quest_name_20301		2	3		10102000	3	20304101
20302	装备重铸	t_quest_name_20302		2	3		20203002	3000	20301100
20303	龙之塔	t_quest_name_20303		2	3		10211000	3001	20302100
20304	神器副本	t_quest_name_20304		2	3		10102000	3002	20303100
20401	装备镶嵌	t_quest_name_20401		2	3		20302002	4000	20401100
20402	竞技场	t_quest_name_20402		2	3		10311000	4001	20402100
30301	每日:进化的蜥蜴	t_quest_name_30301	3	3	3		10101000	3	30300100
30302	每日:变异的鳄鱼	t_quest_name_30302	3	3	3		10101000	3	30300200
30303	每日:暗处的蜘蛛	t_quest_name_30303	3	3	3		10101000	3	30300300
30304	每日:产软的蜘蛛	t_quest_name_30304	3	3	3		10101000	3	30300400
30305	每日:追求力量的剑士	t_quest_name_30305	3	3	3		10101000	3	30300500
30306	每日:邪恶的诅咒	t_quest_name_30306	3	3	3		10101000	3	30300600
30307	每日:强大的外援	t_quest_name_30307	3	3	3		10101000	3	30300700
30308	每日:阴影中的猎杀者	t_quest_name_30308	3	3	3		10101000	3	30300800
30309	每日:先知的预言	t_quest_name_30309	3	3	3		10101000	3	30300900
30310	每日:隐藏的战力	t_quest_name_30310	3	3	3		10101000	3	30301000
30401	每日:清扫魔兽	t_quest_name_30401	4	3	3		10101000	3	30400100
30402	每日:多翼虫的偷袭	t_quest_name_30402	4	3	3		10101000	3	30400200
30403	每日:预防扫荡	t_quest_name_30403	4	3	3		10101000	3	30400300
30404	每日:搜索的魔兽	t_quest_name_30404	4	3	3		10101000	3	30400400
30405	每日:毒物酿酒	t_quest_name_30405	4	3	3		10101000	3	30400500
30406	每日:美丽的羽毛	t_quest_name_30406	4	3	3		10101000	3	30400600
30407	每日:神奇的史莱姆	t_quest_name_30407	4	3	3		10101000	3	30400700
30408	每日:恐怖的食人花	t_quest_name_30408	4	3	3		10101000	3	30400800
30409	每日:哭泣的树怪	t_quest_name_30409	4	3	3		10101000	3	30400900
30410	每日:为了鱼儿	t_quest_name_30410	4	3	3		10101000	3	30401000
30501	每日:	t_quest_name_30501	5	3	3		10101000	3	30500100
30502	每日:	t_quest_name_30502	5	3	3		10101000	3	30500200
30503	每日:	t_quest_name_30503	5	3	3		10101000	3	30500300
30504	每日:	t_quest_name_30504	5	3	3		10101000	3	30500400
30505	每日:	t_quest_name_30505	5	3	3		10101000	3	30500500
30506	每日:	t_quest_name_30506	5	3	3		10101000	3	30500600
30507	每日:	t_quest_name_30507	5	3	3		10101000	3	30500700
30508	每日:	t_quest_name_30508	5	3	3		10101000	3	30500800
30509	每日:	t_quest_name_30509	5	3	3		10101000	3	30500900
30510	每日:	t_quest_name_30510	5	3	3		10101000	3	30501000
30601	每日:	t_quest_name_30601	6	3	3		10101000	3	30600100
30602	每日:	t_quest_name_30602	6	3	3		10101000	3	30600200
30603	每日:	t_quest_name_30603	6	3	3		10101000	3	30600300
30604	每日:	t_quest_name_30604	6	3	3		10101000	3	30600400
30605	每日:	t_quest_name_30605	6	3	3		10101000	3	30600500
30606	每日:	t_quest_name_30606	6	3	3		10101000	3	30600600
30607	每日:	t_quest_name_30607	6	3	3		10101000	3	30600700
30608	每日:	t_quest_name_30608	6	3	3		10101000	3	30600800
30609	每日:	t_quest_name_30609	6	3	3		10101000	3	30600900
30610	每日:	t_quest_name_30610	6	3	3		10101000	3	30601000
30701	每日:	t_quest_name_30701	7	3	3		10101000	3	30700100
30702	每日:	t_quest_name_30702	7	3	3		10101000	3	30700200
30703	每日:	t_quest_name_30703	7	3	3		10101000	3	30700300
30704	每日:	t_quest_name_30704	7	3	3		10101000	3	30700400
30705	每日:	t_quest_name_30705	7	3	3		10101000	3	30700500
30706	每日:	t_quest_name_30706	7	3	3		10101000	3	30700600
30707	每日:	t_quest_name_30707	7	3	3		10101000	3	30700700
30708	每日:	t_quest_name_30708	7	3	3		10101000	3	30700800
30709	每日:	t_quest_name_30709	7	3	3		10101000	3	30700900
30710	每日:	t_quest_name_30710	7	3	3		10101000	3	30701000
