index	type	value1	value2	value3	vip	type	value1	value2	value3	vip
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
*index	reward.0.type	reward.0.value1	reward.0.value2	reward.0.value3	reward.0.vip	reward.1.type	reward.1.value1	reward.1.value2	reward.1.value3	reward.1.vip
1	1	1	50000	0	0	1	1	50000	0	0
2	1	1	50000	0	0	1	1	50000	0	0
3	1	1	50000	0	0	1	1	50000	0	1
4	1	1	50000	0	0	1	1	50000	0	0
5	1	1	50000	0	1	1	1	50000	0	0
6	1	1	50000	0	0	1	1	50000	0	0
7	1	1	50000	0	0	1	1	50000	0	0
8	1	1	50000	0	2	1	1	50000	0	2
9	1	1	50000	0	0	1	1	50000	0	0
10	1	1	50000	0	0	1	1	50000	0	0
11	1	1	50000	0	0	1	1	50000	0	0
12	1	1	50000	0	0	1	1	50000	0	0
13	1	1	50000	0	3	1	1	50000	0	3
14	1	1	50000	0	0	1	1	50000	0	0
15	1	1	50000	0	0	1	1	50000	0	0
16	1	1	50000	0	0	1	1	50000	0	0
17	1	1	50000	0	0	1	1	50000	0	0
18	1	1	50000	0	4	1	1	50000	0	4
19	1	1	50000	0	0	1	1	50000	0	0
20	1	1	50000	0	0	1	1	50000	0	0
21	1	1	50000	0	0	1	1	50000	0	0
22	1	1	50000	0	0	1	1	50000	0	0
23	1	1	50000	0	5	1	1	50000	0	5
24	1	1	50000	0	0	1	1	50000	0	0
25	1	1	50000	0	0	1	1	50000	0	0
26	1	1	50000	0	0	1	1	50000	0	0
27	1	1	50000	0	0	1	1	50000	0	0
28	1	1	50000	0	6	1	1	50000	0	6
29	1	1	50000	0	0	1	1	50000	0	0
30	1	1	50000	0	0	1	1	50000	0	0
